reviewer_name,user_country,room_type,stay_duration_days,rating,review_text,review_date
Krisma,Indonesia,Standard Room,1,10.0,"The place is clean and nice, the staff is friendly and helpful even though they are alone but quite efficient, it would be better if there were more staff, bringing a 1-year-old toddler is safe because the cold is pleasant, the location is close to the lake, it takes a 5-minute walk to get there, and around there are many beautiful vegetable and fruit gardens, thank you for the complimentary drinks, very helpful 🙏🏻","Responded July 02, 2025"
Putrilia,Indonesia,Superior Room,1,10.0,"Nice concept of staying, very clean, not so noisy. Near to Buyan Lake. I think the best time of atay here is on weekdays, because we have a really good time since no one else staying and there were only us. Love it. Recommended!!","January 31, 2026"
Sagung,Indonesia,Superior Room,2,10.0,Stayed for 2 days here on New Year's Eve. Everything is very very perfect. I've stayed 2 times before. Will come back here again next!!! Staff is very friendly and also the owner!! Thanks. For sure will come back here again next time!,N/A
Indrayani,Indonesia,Superior Room,1,10.0,"A unique, clean, and comfortable hotel where we visited with family, everything was enjoyable.",N/A
Budi,Indonesia,Superior Room,2,9.2,"The staff service is very good, the cleanliness is also very good, but the price is a bit expensive.",N/A
Evi,Indonesia,Standard Room,1,10.0,"This place is really close to Bali Farm House, very clean, delicious food and quite affordable, you can get free hot drinks at the reception like chocolate, tea, and coffee, friendly staff, they also have a hairdryer, it's very complete.",N/A
Jeni,Indonesia,Standard Room,2,10.0,"Comfortable place, all staff are friendly and very helpful. 

The owner is very helpful and responsive in answering questions. 

Highly recommended to come back here again.",N/A
Michael,Indonesia,Standard Room,2,9.6,"This place is nice, but maybe it just needs to be more viral, and the Wi-Fi quality might need to be improved because the room areas are not far apart but the connection in the rooms is not so good. Overall, it's good, good luck!",N/A
Putu,Indonesia,Standard Room,2,9.2,"Initially, I was scrolling through Agoda looking for a place to stay and found this unique container model. I liked staying here; overall, it was great, and the staff were very friendly. I checked in very late at night and was really well taken care of. It’s a must to come here, and I definitely have to come back again.",N/A
Adi,Indonesia,Superior Room,1,6.8,"The interior has quite a few issues, such as a socket that has come loose and only one that still works, and the TV has problems; I requested to have it fixed at night, but there was no one available. I think for the price of the room, a smart TV is reasonable. The facilities are standard, and the cleanliness, especially in the toilet, is somewhat lacking. It's not a bad smell, but the grime is bothersome and unpleasant to look at.",N/A
Scott,United Kingdom,Standard Room,2,10.0,"Staff were very friendly and helpful. The garden is great for chilling out at night reading or having a drink. Containers are clean, modern and quite spacious. Thank you","July 31, 2023"
Anastasia,Indonesia,Standard Room,1,9.2,"A comfortable place to rest and enjoy the nature of Bedugul. Clean room. Kusuma, friendly staff who are ready to help.",N/A
rose,Indonesia,Standard Room,1,8.8,"Good and worth for money 
Good for staff He Is very good.
Nice concept, no need AC, is fresh inside and so outside:)
thank you to upgrade the room for kids. Thank you and wish you lucky","May 12, 2025"
Gede,Indonesia,Superior Room,1,10.0,"The room is clean, the staff is friendly, the view is nice but somewhat blocked by the neighbor's garden roof. The price is very cozy, the atmosphere is new and different from others.",N/A
Sherly,Indonesia,Standard Room,1,10.0,"A clean, comfortable, and quiet place, with friendly and attentive staff. Free campfire available if needed. Free tea/coffee.",N/A
denny,Indonesia,Standard Room,1,10.0,"Cleanliness is not really good, smelly sheet
but overal stay is fine compare to the price is very budget in bedugul area.
location is very easy to access and next to local people village","April 20, 2024"
Hui,Malaysia,Standard Room,3,8.8,"The containers condition is NEW, I like the garden area so much! Is very clean and peaceful","December 27, 2022"
Madhu,India,Standard Room,2,9.6,It is suitable for the budget stay and staffs are very co-operative they helped us to check-in at 11:30PM and we did a midnight check-out of 1:00AM they were very polite.,"March 21, 2024"
cindy,Indonesia,Standard Room,1,9.6,"The floor at the side of the bed near the wall is dirty. Hope the staff will notice it. Except for that, everything is awesome, love the garden, the water dispenser, and the Korean tv channel 😁","August 20, 2023"
Dania,Indonesia,Standard Room,1,10.0,A very comfortable and clean place. Good and friendly service. We highly recommend this hotel.,N/A
Gusti,Indonesia,Standard Room,1,9.6,"Tempatnya nyaman
Stafnya ramah","May 06, 2026"
Windi,Indonesia,Standard Room,1,10.0,"This is the second time we had our staycation here, we had a barbeque night too, so peacefull at night, the staff was helpfull, will be back again and again.","April 21, 2024"
Sagung,Indonesia,Superior Room,1,10.0,I just want to say thank you. Overall very good!! We will come back again soon!,"October 18, 2024"
Andhi,Indonesia,Standard Room,1,10.0,"Clean place, near all attract ion","December 27, 2022"
Gerald,Indonesia,Superior Room,1,8.0,"Great stay and owners 
Close to Bali farm and fresh tomatoes  to take home 🍅","January 13, 2025"
Iwan,Indonesia,Standard Room,1,9.6,"Kamar bersih, pemandangan danau Buyan. Staff ramah","November 15, 2022"
Egor,Thailand,Superior Room,1,10.0,Good,"September 08, 2025"
Kadel,Indonesia,Standard Room,1,10.0,Good,"July 20, 2024"
Ferlina,Indonesia,Superior Room,1,10.0,Good,"December 30, 2022"
Margareta,Indonesia,Standard Room,1,9.6,"Loving my stay here! The room has a view to the lake. It’s compact, but very cozy, clean and has everything you need for the night!","August 28, 2022"
Javo,Indonesia,Standard Room,2,9.2,"La estancia ha sido muy gratificante.bbuena limpieza, habitación amplia, agua muy caliente y el personal muy agradable.
La única pega, es que el alquiler de la moto es caro, aunque no dependan del alojamiento.","July 30, 2024"
Ariadna,Argentina,Standard Room,1,6.0,"El personal fue muy amable.
La habitacion esta ok, pero no hay toma de corriente al lado de la cama. En la ducha habia mucho moho. 
El wifi casi que no funciono.","October 27, 2023"
Alison,France,Standard Room,2,10.0,"Chambre très simple mais ça suffit, petit déjeuner que du salé par contre, personnel adorable et très serviable, proche du joli lac","July 31, 2023"
