username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Aleksandra,Australia,Deluxe Villa,1 night,Couple,01-29-2026 00:00:00,Great location,10.0,en,Very beautiful place! Lovely location with great staff. Good food but you need to be firm with vegetarian vegan food they have it just not keen to make it 😂,,title: Great location. liked: Very beautiful place! Lovely location with great staff. Good food but you need to be firm with vegetarian vegan food they have it just not keen to make it 😂.,title: Great location. liked: Very beautiful place! Lovely location with great staff. Good food but you need to be firm with vegetarian vegan food they have it just not keen to make it 😂.,0,0,"Dear Aleksandra, Thank you very much for your kind review. We’re delighted to hear that you enjoyed the beauty of the property, our location, and the service from our team. We’re also glad you liked the food. We appreciate your feedback regarding vegetarian and vegan options. Please rest assured that we do offer these choices, and we will continue to improve our communication and attentiveness to ensure all dietary preferences are well accommodated. Thank you once again, and we look forward to welcoming you back in the future. Warm regards, Putu Andre Operational Manager"
Brendon,Australia,Superior Villa,1 night,Couple,10-22-2025 00:00:00,Good,7.0,en,Location,,title: Good. liked: Location.,title: Good. liked: Location.,0,0,
Helg,New Zealand,Standard Villa,1 night,Solo traveller,05-12-2025 00:00:00,Very good,8.0,en,Breakfast was good and location was good to the places we were visiting.,,title: Very good. liked: Breakfast was good and location was good to the places we were visiting.,title: Very good. liked: Breakfast was good and location was good to the places we were visiting.,0,0,
I,Indonesia,Villa,1 night,Couple,05-06-2025 00:00:00,Comfortable.,8.0,en,Feel like back to nature and located right next to the lake.,"Feel like staff didn’t check the gas for the hot water, there still small details that need to be check when guests checking in.","title: Comfortable. liked: Feel like back to nature and located right next to the lake. disliked: Feel like staff didn’t check the gas for the hot water, there still small details that need to be check when guests checking in.","title: Comfortable. liked: Feel like back to nature and located right next to the lake. disliked: Feel like staff didn’t check the gas for the hot water, there still small details that need to be check when guests checking in.",0,0,
Adèle,France,Standard Villa,2 nights,Couple,02-24-2025 00:00:00,Cosy and comfy in a peaceful natural environment !,9.0,en,"The staff is very nice and helpful, dinner & breakfast were amazing, very quiet and beautiful place and neighbourhood, the rooms are beautifuly made and the beds are very clean and comfy ! After staying 2 night there, I definitely recommend.",It's not a problem but you just need to know that the accomodation is not in the center (20 mn walk along the main road) and that you cannot walk that much near the lake.,"title: Cosy and comfy in a peaceful natural environment ! liked: The staff is very nice and helpful, dinner & breakfast were amazing, very quiet and beautiful place and neighbourhood, the rooms are beautifuly made and the beds are very clean and comfy ! After staying 2 night there, I definitely recommend. disliked: It's not a problem but you just need to know that the accomodation is not in the center (20 mn walk along the main road) and that you cannot walk that much near the lake.","title: Cosy and comfy in a peaceful natural environment ! liked: The staff is very nice and helpful, dinner & breakfast were amazing, very quiet and beautiful place and neighbourhood, the rooms are beautifuly made and the beds are very clean and comfy ! After staying 2 night there, I definitely recommend. disliked: It's not a problem but you just need to know that the accomodation is not in the center (20 mn walk along the main road) and that you cannot walk that much near the lake.",0,0,
Theresia,Singapore,Deluxe Villa,1 night,Family,02-22-2025 00:00:00,Really enjoy our stay,8.0,en,Staff very helpful and the room is quite spacious,Smell of toilet paper.,title: Really enjoy our stay. liked: Staff very helpful and the room is quite spacious. disliked: Smell of toilet paper.,title: Really enjoy our stay. liked: Staff very helpful and the room is quite spacious. disliked: Smell of toilet paper.,0,0,
Anna,Russia,Standard Villa,1 night,Couple,11-16-2024 00:00:00,Very nice cottages,9.0,en,"Rooms are spacious Staff is super friendly Location is close to sights, but quiet","Lots of flies, but it is everywhere in the north:) Perhaps flies shield would be a good idea. A small window in the bathroom would be great too","title: Very nice cottages. liked: Rooms are spacious Staff is super friendly Location is close to sights, but quiet. disliked: Lots of flies, but it is everywhere in the north:) Perhaps flies shield would be a good idea. A small window in the bathroom would be great too.","title: Very nice cottages. liked: Rooms are spacious Staff is super friendly Location is close to sights, but quiet. disliked: Lots of flies, but it is everywhere in the north:) Perhaps flies shield would be a good idea. A small window in the bathroom would be great too.",0,0,"Dear Ms. Anna, Thank you very much for spending your time to wrote a meaningful review of our property. We are thrilled to know that you love our place and the location. We thank you for your understanding that almost all over north area and we have pretend this by doing a mist and pest control twice in a month and i think your idea will be very good to help the situation. Ms. Anna, thank you once again and we wish to welcoming you again in our better circumstances. Regards, Putu Andre"
Kristian,United Kingdom,Standard Villa,1 night,Couple,10-05-2024 00:00:00,Happy with my stay overall.,7.0,en,Nice place with friendly staff. Close to the temple and botanical gardens so an ideal location to visit them.,"food at the restaurant is okay although portions were pretty small, especially the breakfast.","title: Happy with my stay overall. liked: Nice place with friendly staff. Close to the temple and botanical gardens so an ideal location to visit them. disliked: food at the restaurant is okay although portions were pretty small, especially the breakfast.","title: Happy with my stay overall. liked: Nice place with friendly staff. Close to the temple and botanical gardens so an ideal location to visit them. disliked: food at the restaurant is okay although portions were pretty small, especially the breakfast.",0,0,"Dear Mr. Kristian, Thank you very much for spending your time to wrote a meaningful review of our property. We are thrilled to know that you love our place and the location. If times brought you back again to Bali, we wish to welcoming you again in our better circumstances. Regards, Putu Andre"
Giorgia,New Zealand,Standard Villa,2 nights,Couple,09-13-2024 00:00:00,Amazing stay!!,8.0,en,"We stayed at Navalia Villa for two nights and we were really happy with our stay! The Staff is super friendly and helpful, they even helped us remove a spider from the room cause we were too afraid to do it on our own🤗 The room was nice and comfortable and the activities around the area are all reachable by scooter in 15-20 min. You can also rent your scooter here for a good price!",The room might need a little bit of attention in the corners but apart from that it was amazing,"title: Amazing stay!! liked: We stayed at Navalia Villa for two nights and we were really happy with our stay! The Staff is super friendly and helpful, they even helped us remove a spider from the room cause we were too afraid to do it on our own🤗 The room was nice and comfortable and the activities around the area are all reachable by scooter in 15-20 min. You can also rent your scooter here for a good price! disliked: The room might need a little bit of attention in the corners but apart from that it was amazing.","title: Amazing stay!! liked: We stayed at Navalia Villa for two nights and we were really happy with our stay! The Staff is super friendly and helpful, they even helped us remove a spider from the room cause we were too afraid to do it on our own🤗 The room was nice and comfortable and the activities around the area are all reachable by scooter in 15-20 min. You can also rent your scooter here for a good price! disliked: The room might need a little bit of attention in the corners but apart from that it was amazing.",0,0,"Dear Ms. Georgia, It was a pleasure to have you here with us during your stay in Bali. We do apologize about the spider, although we always try to avoid them but due to we are located in plateau area and in the middle of vegetable farm, they always there sometimes. Thank you for the feedback on the cleanliness, this is very useful for us toward our improvement. If times brought you back again to Bali, our door is always open for you to coming back. Have a great day! Regards, Putu Andre"
Niki,Australia,Superior Villa,1 night,Couple,06-20-2024 00:00:00,A new hotel which will get better and better.,7.0,en,"We could walk to the lake easily, which was lovely. The bungalow had a lovely high arched roof.","The restaurant was not really very together, but the place is new so I imagine it will all get better.","title: A new hotel which will get better and better. liked: We could walk to the lake easily, which was lovely. The bungalow had a lovely high arched roof. disliked: The restaurant was not really very together, but the place is new so I imagine it will all get better.","title: A new hotel which will get better and better. liked: We could walk to the lake easily, which was lovely. The bungalow had a lovely high arched roof. disliked: The restaurant was not really very together, but the place is new so I imagine it will all get better.",0,0,"Dear Mrs. Niki, Thank you very much for your feedback regarding your stay. We are glad to know that you love the architecture of our deluxe room. And also thank you for believing in us as a place for your holiday in Bali. We always look forward to welcoming you again in the future. Kind Regards, Putu Andre"
