text,trip,title,images,rating,language,reviewer,review_id,like_count,review_tip,subratings,review_link,is_translated,owner_response,created_at_date,original_language,published_at_date,stay_date,trip_type,reviewer_name,reviewer_avatar
"Beautiful property with lovely staff. The gardens are kept so lovely and rooms traditional and clean 
We will definitely return to this beachfront location and stay a little longer.","{""stay_date"": ""2025-10-31"", ""trip_type"": ""couples""}",8 night stay,"[""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/97/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/98/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/99/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/9a/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/9b/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/9c/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/9d/caption.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/75/42/9e/caption.jpg""]",5,en,"{""name"": ""Katrina B"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg"", ""hometown"": {""location_name"": ""Australia"", ""tripadvisor_entity_id"": 255055, ""location_name_detailed"": ""Australia""}, ""username"": ""katrinab514"", ""is_verified"": false, ""reviewer_id"": ""57D14F1314DE09FD63CB3B68586FCB02"", ""profile_link"": ""https://www.tripadvisor.com/Profile/katrinab514"", ""contribution_count"": 148}",1035629478,0,,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r1035629478-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2025-10-20,en,2025-10-20,,,,
The hotel location is great- right in front of the wave and a few restaurants  around. The rooms were clean and a generous size. Pool nice and clean. All staff we dealt with were very nice and friendly. The restaurant food was good too the yogurt bowl in the breakfast that was included in our room was good and filling. Our room was near the restaurant/ close to the common area and was a little loud with other guests having a few drinks a few of the nights. But overall great time and perfect location.,"{""stay_date"": ""2025-08-31"", ""trip_type"": ""family""}",Nice beachfront stay.,[],5,en,"{""name"": ""Amber H"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/fb/d4/40/amber-h.jpg"", ""hometown"": {""location_name"": ""Western Australia"", ""tripadvisor_entity_id"": 255101, ""location_name_detailed"": ""Western Australia, Australia""}, ""username"": ""J9263MAamberh"", ""is_verified"": false, ""reviewer_id"": ""5DF41165270F83C304927D050F00098F"", ""profile_link"": ""https://www.tripadvisor.com/Profile/J9263MAamberh"", ""contribution_count"": 80}",1027812713,0,,"[{""name"": ""value"", ""label"": ""Value"", ""rating"": 5}, {""name"": ""rooms"", ""label"": ""Rooms"", ""rating"": 5}, {""name"": ""location"", ""label"": ""Location"", ""rating"": 5}, {""name"": ""cleanliness"", ""label"": ""Cleanliness"", ""rating"": 5}, {""name"": ""service"", ""label"": ""Service"", ""rating"": 5}, {""name"": ""sleep_quality"", ""label"": ""Sleep Quality"", ""rating"": 4}]",https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r1027812713-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2025-08-31,en,2025-08-31,,,,
We were a group of 14 staying locally and came for brunch and dinner on a number of occasions. Each time we were treated beautifully with lovely friendly service. Great food and a beautiful setting overlooking the sea. We also took advantage of their delivery service to our villa which worked really well.,"{""stay_date"": ""2024-01-31"", ""trip_type"": ""family""}",Beautiful place overlooking the beach,[],5,en,"{""name"": ""Simon G"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg"", ""hometown"": null, ""username"": ""O6851KZsimong"", ""is_verified"": false, ""reviewer_id"": ""539FDFBB06DFF930AC643B9904772B2A"", ""profile_link"": ""https://www.tripadvisor.com/Profile/O6851KZsimong"", ""contribution_count"": 6}",932003690,0,,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r932003690-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2024-01-02,en,2024-01-02,,,,
"Quiet retreat next to the beach. Absolutely loved this place, a great place to go to just relax, unwind, and watch the surf.

Check-in was without issue and the staff were accommodating. 

Room was basic and rustic, but was still fantastic. I was lucky enough to have a room that had a view of the beach, and an open air shower.

Restaurant was decent, but unfortunately the restaurant across the road was closed for renovations. Top tip, bring some cash so you can visit the other restaurants behind the resort.

Beach was special.

Alan's Shower Index:
Space - Great
Pressure - Average
Heat - Average
Controls - Average
Height - Great
Towels - Average

Special shower mention - open air with a beach view as you scrub down ...","{""stay_date"": ""2022-07-31"", ""trip_type"": ""friends""}",Rustic and peaceful,"[""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/4d/23/a6/pondok-pitaya-hotel-surfing.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/4d/23/aa/pondok-pitaya-hotel-surfing.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/4d/23/ab/pondok-pitaya-hotel-surfing.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/4d/23/ac/pondok-pitaya-hotel-surfing.jpg"", ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/25/4d/23/ae/pondok-pitaya-hotel-surfing.jpg""]",5,en,"{""name"": ""AlanNeedsMoreTravel"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/e4/51/0e/alancarver.jpg"", ""hometown"": {""location_name"": ""Sydney"", ""tripadvisor_entity_id"": 255060, ""location_name_detailed"": ""Sydney, Australia""}, ""username"": ""AlanNeedsMoreTravel"", ""is_verified"": false, ""reviewer_id"": ""520DAFFFFEC3A59B2D5871D812E6EBA1"", ""profile_link"": ""https://www.tripadvisor.com/Profile/AlanNeedsMoreTravel"", ""contribution_count"": 52}",855200936,0,,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r855200936-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2022-08-20,en,2022-08-20,,,,
"We didn't stay at the hotel but had a day trip to Balkan beach. We paid 50k for a pool voucher for two, this included two loungers, two orange juices and Tempe fried (which were insanely delicious!). The pool area was lovely and is right on the beach where you can watch the surfers. The food ordered from the restaurant and served at the pool was delicious and the service was very efficient and friendly. Would definitely return!","{""stay_date"": ""2022-06-30"", ""trip_type"": ""couples""}",Visited for lunch- wonderful pool area!,[],5,en,"{""name"": ""Francesca S"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f6/0d/default-avatar-2020-34.jpg"", ""hometown"": null, ""username"": ""francescasA2507PJ"", ""is_verified"": false, ""reviewer_id"": ""14004115977266BED2B3079FAE5D9661"", ""profile_link"": ""https://www.tripadvisor.com/Profile/francescasA2507PJ"", ""contribution_count"": 79}",842948127,0,Enjoy the pool area! It was so relaxing we even fell asleep!,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r842948127-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2022-06-15,en,2022-06-15,,,,
"A group of friends & I just organized a dinner here at Pondok Pitaya last night and it was amazing.

The guy who helped orchestrate the dinner was named Darius and he was an amazing help, very giving of his time to answer any questions I had about planning the dinner.

We as a group ordered the Babi Guling, and it was amazing. The staff was super friendly and set up a reserved table area near the front of the restaurant so we can have our own space + watch the sunset, as they brought out the Suckling Pig & cut it open right in front of us, as well as created a separate table of everything we need to create the Babi Guling, with rice, veggies, sambal, etc.

The food was amazing & the service was awesome - one of my friends literally thanked me for inviting her for what she called a ""celebrity dinner"", because the staff made it feel very special and we felt very cared for.

It was an amazing night that we will all remember thanks to the great people and great food here. It doesn't hurt that Balian Beach is such an amazing, quiet place, too :)","{""stay_date"": ""2021-08-31"", ""trip_type"": null}","*Amazing*, Extremely Memorable Dinner @ Pondok Pitaya","[""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/14/70/pondok-pitaya-hotel-surfing.jpg""]",5,en,"{""name"": ""Seth K"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/5d/default-avatar-2020-32.jpg"", ""hometown"": null, ""username"": ""661sethk"", ""is_verified"": false, ""reviewer_id"": ""C7F36AE6787A88B8AA8CD5DD0587681E"", ""profile_link"": ""https://www.tripadvisor.com/Profile/661sethk"", ""contribution_count"": 2}",805703437,0,,"[{""name"": ""value"", ""label"": ""Value"", ""rating"": 5}, {""name"": ""service"", ""label"": ""Service"", ""rating"": 5}, {""name"": ""sleep_quality"", ""label"": ""Sleep Quality"", ""rating"": 5}]",https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r805703437-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2021-08-23,en,2021-08-23,,,,
"Pondok Pitaya deserves a 

My friends and I absolutely enjoyed our stay. Good surf, clean & comfy bedroom, yummy food, gorgeous pool area  
Facilities are very well-maintained and service was excellent. Such a good value. Can't wait to be back!","{""stay_date"": ""2021-04-30"", ""trip_type"": ""friends""}",Wonderful experience!,[],5,en,"{""name"": ""Gloria"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/66/default-avatar-2020-53.jpg"", ""hometown"": {""location_name"": ""Jakarta"", ""tripadvisor_entity_id"": 294229, ""location_name_detailed"": ""Jakarta, Indonesia""}, ""username"": ""Departure13473586224"", ""is_verified"": false, ""reviewer_id"": ""EC15D239710D5796ED5DE3872B62D05D"", ""profile_link"": ""https://www.tripadvisor.com/Profile/Departure13473586224"", ""contribution_count"": 1}",789767030,0,,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r789767030-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2021-05-24,en,2021-05-24,,,,
The worst place to stay. Asked for 3st towel for child never received.  Food was horrible: taste of plastic and consistency of plastic ( fried to much) when we finish disgusting lunch of 40$ we go straight to local market and it real food fried chicken and sate for 4$: them was delicious. The rooms full of rats!!! You can see them from the bed! All night them just running around room in the middle of walls at 5 o'clock them start to come inside room falling down from the roof!!! Are you serious? In 10 years living in Bali never was disappointed like this.,"{""stay_date"": ""2020-09-30"", ""trip_type"": ""family""}",Horror,[],1,en,"{""name"": ""Alfa A"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/9c/01/6c/alfa-a.jpg"", ""hometown"": null, ""username"": ""301alfaa"", ""is_verified"": false, ""reviewer_id"": ""FCC539EEB6C4F21F6BF4333CFEF8E6CF"", ""profile_link"": ""https://www.tripadvisor.com/Profile/301alfaa"", ""contribution_count"": 3}",771890927,0,,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r771890927-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,"{""text"": ""Hi there, we take every feed back very seriously. Is it possible to email us back at reservation@pondokpitaya.com we would like to hear more of this to make amend of the experience and to avoid such things to happen again. We apologize for any inconvenience caused."", ""language"": ""en"", ""response_id"": 787306999, ""profile_link"": ""https://www.tripadvisor.com/Profile/DSadeli"", ""published_date"": ""2021-04-26"", ""avatar_image_link"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg"", ""connection_to_place"": ""General Manager""}",2020-09-25,en,2020-09-26,,,,
"Time @ Pondok Pitaya was like living in a dream. I did my Yoga training there with Ottawa's In Alignment Yoga. The service, food, accommodation, love & caring that went into every day was outstanding. ","{""stay_date"": ""2019-03-31"", ""trip_type"": null}",Just WOW!,[],5,en,"{""name"": ""Sophie K"", ""avatar"": null, ""hometown"": null, ""username"": ""SophieK1529"", ""is_verified"": false, ""reviewer_id"": ""8C36204B3213A9C44D8AD2B46C836EB0"", ""profile_link"": ""https://www.tripadvisor.com/Profile/SophieK1529"", ""contribution_count"": 5}",745441250,0,,[],https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r745441250-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2020-02-16,en,2020-02-16,,,,
"I was there for retreat. The rooms in the back are nicer as they are quiter. Good for relaxing. There are yoga shala as well. The beach is not crowded, right spot for surfing. You can walk in the area to see the other side of Bali.","{""stay_date"": ""2019-09-30"", ""trip_type"": null}",Another taste of Bali,[],5,en,"{""name"": ""Wahyuni Kamah"", ""avatar"": ""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/34/47/61/wahyunikamah.jpg"", ""hometown"": {""location_name"": ""Indonesia"", ""tripadvisor_entity_id"": 294225, ""location_name_detailed"": ""Indonesia""}, ""username"": ""wahyunikamah"", ""is_verified"": false, ""reviewer_id"": ""8E876A167010EC56A56730D1F00A1D0D"", ""profile_link"": ""https://www.tripadvisor.com/Profile/wahyunikamah"", ""contribution_count"": 81}",734064922,1,Rooms in the back are quiter,"[{""name"": ""value"", ""label"": ""Value"", ""rating"": 4}, {""name"": ""rooms"", ""label"": ""Rooms"", ""rating"": 4}, {""name"": ""service"", ""label"": ""Service"", ""rating"": 4}]",https://www.tripadvisor.com/ShowUserReviews-g608496-d1985543-r734064922-Pondok_Pitaya_Hotel_Surfing_and_Yoga-Tabanan_Bali.html,False,,2019-12-22,en,2019-12-22,,,,
