Nama,Negara,Tipe Kamar,Detail Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Evaluasi,Judul,Komentar
"Vilas","India","One Bedroom Pool Villa","Stayed 3 nights in May 2026","Group","June 01, 2026","7.6","Very good","Very good Facility and Location","Payangan, was very cool around 24-25 deg when other parts of UBUD was 30-34 deg. It was like Hill station. Though the staff shortage was evident, staff was cooperative. Daun lebar should have door bells for each room. Staff was found standing outside the door and calling us to open the door. Also, no landline facility which should be improved. Rest my stay was very good and pleasant"
"Joan","New Zealand","Three Bedroom Villa","Stayed 3 nights in April 2024","Family with young children","May 01, 2024","8.8","Excellent","Great stay!","Enjoyed staying. Good size and beautiful villa for a big family. Very quiet, relaxing place. The staff was very kind. Some of the interior fixtures need to be updated."
"Chandra","Indonesia","One Bedroom Pool Villa","Stayed 2 nights in February 2025","Family with young children","February 09, 2025","9.2","Exceptional","Nice private villa","A comfortable villa with a clean private pool, the location is suitable for honeymooners."
"Sayza","Malaysia","One Bedroom Pool Villa","Stayed 1 night in May 2024","Couple","October 23, 2025","8.4","Excellent","Daun Lebar Villas","I stayed at Daun Lebar Villas for my honeymoon in May 2024, and it was a truly pleasant experience. The facilities and food were excellent, and overall, it offered great value for money. Although the villa is located quite far from the town and shops, and the route can be a little tricky, this distance makes the environment peaceful and calm — perfect for a relaxing getaway. The staff were friendly and helpful, and the cleanliness of the villa was generally good. However, the toilet had a slight odor; it would be nice if the management could provide air fresheners to improve that. Overall, my stay at Daun Lebar Villas was wonderful. I highly recommend it to anyone looking for a private pool villa with a serene atmosphere at a reasonable price."
"Bagus","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in October 2024","Group","October 13, 2024","10.0","Exceptional","Nice !!","The villa is very nice, and the staff service is very friendly. Recommended for those who want to stay in Ubud."
"Faiz","Indonesia","Deluxe One Bedroom Private Pool Villa","Stayed 2 nights in August 2025","Couple","August 25, 2025","10.0","Exceptional","Really satisfied with the stay","We had a such wonderful stay at the Villa. The experience was truly memorable -- The room was amazing and clean, spacious, comfortable, and beautifully designed. The access to the villa is a bit challenging, but it's absolutely worth it. The staff were friendly and helpful. Overall, I recommend Daun Lebar Villas to anyone looking for a pleasant and relaxing getaway."
"nayan","India","One Bedroom Pool Villa","Stayed 2 nights in July 2024","Couple","November 22, 2024","10.0","Exceptional","Exceptional","We stayed for 2 days and was absolutely wonderful property gives you a whole villa with private living room and pool absolutely wonderful service and the food there is real good"
"Nattapak","Thailand","Two Bedroom Pool Villa","Stayed 5 nights in September 2025","Solo traveler","December 24, 2025","7.6","Very good","Nice stay","The room are wonderful for the price bed is comfy Staffs are nice (okay) Cleanliness is below chain hotel standard Overall is superb for the price that we paid"
"Faridah","Singapore","Two Bedroom Pool Villa","Stayed 2 nights in September 2023","Family with young children","September 03, 2024","8.0","Excellent","Great Stay!","A different and unique experience. Quite in through the plantations.... Great rooms and stay...Lovely breakfast with great service! we enjoyed out stay...."
"arun","India","Deluxe One Bedroom Private Pool Villa","Stayed 3 nights in March 2025","Family with young children","March 18, 2025","9.6","Exceptional","Good place and good food","The place was very nice inside a village and very calm, the staffs were great especially Krishna, Tapa, Jenny were great, they helped us from check in to food, motor cycle and it was a pleasant stay overall."
"Ari","Indonesia","Two Bedroom Pool Villa","Stayed 1 night in November 2024","Group","November 08, 2024","8.0","Excellent","Friendly staff","Very friendly staff, nice villa to stay, but a few things need repairs, will be back next time."
"Samarkand","Kuwait","Deluxe One Bedroom Private Pool Villa","Stayed 4 nights in August 2024","Family with teens","June 21, 2025","8.4","Excellent","Quiet, beautiful place","If you’re looking for a peace and quiet, I will definitely recommend this place for you, but it’s downside is no Wi-Fi or easy transportation to the center You have to have your own driver or order your transportation from the hotel which costs more.. But I enjoyed peace and quiet with the beautiful pool and the sounds of frogs and the quietness and the beauty of nature"
"Joan","New Zealand","Two Bedroom Pool Villa","Stayed 3 nights in April 2024","Group","April 29, 2024","8.8","Excellent","Good place to stay","It is a bit far from Ubud city but is a quiet place to stay. The staff is very friendly. It is time to change some of the facilities and fix them. Overall, we enjoyed our stay."
"jeff","Australia","Deluxe One Bedroom Private Pool Villa","Stayed 1 night in March 2025","Couple","March 16, 2025","10.0","Exceptional","Perfect place to recharge","Daun Leda villa was a perfect place for us to recharge after riding around Bali on a motorbike for the last 5 days. It is quiet, nicely nestled amongst the rice fields and luscious greenery. It has all we need in the villa to take it slow and easy. The staff are courteous and helpful. Thank you!"
"Kristopher","Indonesia","Deluxe One Bedroom Private Pool Villa","Stayed 2 nights in July 2025","Couple","July 24, 2025","10.0","Exceptional","Great place to get away from crowded place","Place are in the middle of village, which is very quite and peaceful. The breeze are nice and cozy. The staffs are all very nice and friendly. Even when I forgot to tell that I have to wake up very early and need to pickup, they still give me the pickup at 5 am. Foods are good and tasty! Overall I've enjoyed our honeymoon here for 3 days 2 nights!"
"Thien","Singapore","Three Bedroom Villa with Private Pool","Stayed 3 nights in June 2024","Family with young children","June 17, 2024","8.0","Excellent","Nice Villa","The rooms are spacious and clean. The staff is friendly. It is an ideal place for staycation. The location is rather far from Ubud town centre, and may face difficulties in getting GoFood to deliver to this villa."
"Daniel","Indonesia","One Bedroom Pool Villa","Stayed 1 night in October 2024","Solo traveler","October 08, 2024","10.0","Exceptional","Nice Villa","Located in less crowded place, no motor sound, so serenity and calm place. Nice bathtub, hot water working well, nice clean bathroom with good shower. The bath foam smell nice (sensatia) Nice clean pool, TV ok, dinning area ok, wifi not working well but its okay since it is staycation away from digital world. This Villa surrounded with tall treasure, so refreshing. No mosquito no insect. I love the bathtub with glass window facing to small Garden."
"Yohanes","Indonesia","Two Bedroom Pool Villa","Stayed 3 nights in September 2024","Couple","September 27, 2024","8.4","Excellent","Great stay with minor flaws","Loved the location and value for money. The staff was friendly, amenities top notch, and housekeeping excellent. Cleanliness could be improved. But overall loved to stay here."
"Nishita","United States","Two Bedroom Pool Villa","Stayed 2 nights in June 2024","Family with young children","October 08, 2024","7.6","Very good","Family vacation","The Villas offered ample room space, perfect for families. The bathrooms were clean and well-mainted. The staff was attentive and accommodating, enhancing the overall experience. The facilities provided added value to our stay. The outside area can use more lights at night. The Villa private pool was a hit with the kids."
"earl","United States","Three Bedroom Villa","Stayed 1 night in December 2024","Couple","January 07, 2025","8.0","Excellent","Really Cool Place to Stay","To start off, I was very pleased with my stay. I love that each unit has its own pool and privacy. Resort is in a quiet location so you hear all of nature. One thing to know is none of the rooms have a phone, so in order to contact the front desk you have to use Whatsapp. It’s not a quick response sometimes, but it is what it is. The upside is you have streaming options like Netflix, a pleasant surprise for me. If you’re in the single room, the tv is inside, but the 3 bedroom has only one tv and it’s in the outdoor living area. So if you like watching tv in bed, not happening with the 3 bedroom. I do not know what options you would have if that’s needed. Since the resort is a little out from city center, there are no restaurants nearby, but the restaurant at the resort makes up for that. The food there is very delicious! I preferred eating there anyway. Another thing to keep in mind is you are surrounded by nature, so there will be lizards, frogs, and mosquitoes, etc. You don’t see them on the website, but they are there 😊. Really didn’t have much of an issue with them, but do keep the door closed. The resort has two sections and the are across the street from one another. The main section where you check in has the breakfast and the other section has lunch and dinner. A short walk if you choose or call for ride. The road does get muddy if it rains, so if you’re wearing nice shoes, do not take the walk. This is a place I could revisit, staff was really nice and many of the resorts are also a little out of the way, so really not a problem especially if you have a driver."
"Waratchaya","Thailand","Two Bedroom Pool Villa","Stayed 3 nights in July 2024","Family with young children","July 29, 2024","7.2","Very good","New hotel, beautiful & quiet villa","The design of the room is very nice, the pool villa is big enough. Something need to be improved such as no shower cap, no slippers, no umbrellas in the room. Hair dryer has to be borrowed from the reception, which is funny for this price of hotel. Just be careful that when the cook is changed, the same menu of food can be very different. But they nicely canceled the food for us."
"lim","Malaysia","Three Bedroom Villa","Stayed 1 night in July 2024","Group","July 12, 2024","10.0","Exceptional","Unforgettable memories here","The whole environment here is so so so good until we dont wanna check out from this heaven. The only letdown is the mosquitoes, otherswise its near to perfect"
"Chua","Malaysia","Deluxe One Bedroom Private Pool Villa","Stayed 2 nights in January 2025","Couple","April 24, 2025","8.8","Excellent","Relax at silence countryside","The location is deep in the forest, make sure have transportation will be recommend , the room is nice and chill, can gather with some friend at there and good for couple to honeymoon"
"januar","Indonesia","Two Bedroom Pool Villa","Stayed 2 nights in December 2025","Family with young children","December 31, 2025","8.8","Excellent","Excellent","i have enjoy to stay at your hotel overall the service is good and the accomodation is good and the staff its great . but the last day of my stay i have some trouble with the water even the staff can handle but its take to long to enjoy my shower at the time because we most check out . there is only little bit problem with the water system but overall i enjoy to stay at your property"
"Fatini","Malaysia","Three Bedroom Villa","Stayed 2 nights in February 2024","Family with young children","September 24, 2024","7.2","Very good","Family from Malaysia","I can confidently say this place offers great value for money! While the location is in a village, I really enjoyed the vibes. I would love to come back, especially since the pool was quite large and the pantry spacious. Overall, a fantastic experience!"
