Nama,Negara,Tipe Kamar,Durasi Menginap,Tanggal Menginap,Tipe Traveler,Tanggal Ulasan,Skor,Judul,Komentar
"Pauline","New Zealand","Two Bedroom Private Pool Villa","1 night","May 2026","Family","May 26, 2026","9.0","Beautiful villa excellent staff","Positif: Staff were so friendly & made you feel very welcome , they went above & beyond,were so helpful towards us, I had my grandson who is 5 months old were very attentive , such great staff | Negatif: "
"Patrick","Malaysia","Deluxe One Bedroom Private Pool Villa","4 nights","April 2026","Couple","May 3, 2026","7.0","Good","Positif:  | Negatif: Food available was not great"
"Windy","Indonesia","Three Bedroom Private Pool Villa","2 nights","December 2025","Family","January 9, 2026","7.0","Good","Positif:  | Negatif: "
"Hussain","Saudi Arabia","Deluxe One Bedroom Private Pool Villa","5 nights","November 2025","Couple","December 4, 2025","1.0","Bad","Positif:  | Negatif: "
"Rajanand","India","Deluxe One Bedroom Private Pool Villa","2 nights","November 2025","Family","November 26, 2025","6.0","Pleasant","Positif: property increase for transportation facuilty..... | Negatif: "
"John","Australia","Three Bedroom Private Pool Villa","3 nights","October 2025","Family","October 18, 2025","8.0","Would definetly stay again .","Positif: The pool was great with the kids although VERY cold . It was nice to have a restaurant on the premises . | Negatif: Facilities such as iron & ironing board were very old and unsafe ."
"Pierre","France","Three Bedroom Private Pool Villa","6 nights","August 2025","Group","September 7, 2025","8.0","Very Good","Positif:  | Negatif: "
"محمد","Saudi Arabia","Deluxe One Bedroom Private Pool Villa","1 night","August 2025","Couple","August 8, 2025","10","Exceptional","Positif:  | Negatif: "
"Sebastian","Chile","Deluxe One Bedroom Private Pool Villa","1 night","July 2025","Couple","July 21, 2025","10","Relajo","Positif: TODO....la ubicación alejado del ruido muy tranquilo en medio de los bosques y plantaciones de arroz | Negatif: "
"Tejas","United Kingdom","Three Bedroom Private Pool Villa","2 nights","July 2025","Group","July 10, 2025","10","Lovely staff and lovely villas 🤗","Positif: Nice location and lovely staff | Negatif: Best vibe"
"Peace","South Africa","Deluxe One Bedroom Private Pool Villa","2 nights","November 2023","Couple","November 27, 2023","8.0","For unwinding? Definitely worth it","Positif: Tranquil and clean | Negatif: Location only."
"Jessey","Malaysia","Deluxe One Bedroom Private Pool Villa","7 nights","October 2023","Couple","October 16, 2023","7.0","Good","Positif: Very quiet place and helpful staff. | Negatif: Very far from town"
"Chafikcharbaji","Syria","Two Bedroom Private Pool Villa","2 nights","September 2023","Couple","September 15, 2023","8.0","Very Good","Positif: The location was amazing for serenity and some isolation | Negatif: Food was average, outside of the rooms needed cleaning. Hotel taxi was extremely expensive"
"Sandiery","Canada","Deluxe One Bedroom Private Pool Villa","3 nights","August 2023","Couple","August 18, 2023","6.0","Pleasant","Positif: It was calm and relatively secluded. Good place to choose if you want to be away from the hustle and bustle. | Negatif: There were several minor annoyances like the water heater being undersized for the room and running out of hot water before even filing a third of the tub. As for the other things, the staff was very responsive in handling them."
"Imran","United Arab Emirates","Two Bedroom Private Pool Villa","3 nights","July 2023","Family","August 12, 2023","8.0","Great stay would recommend","Positif: Great location and staff were helpful especially Easter! Very clean and comfortable . Villa was well kept and beautiful. Perfect stay | Negatif: Pool was cold as no direct sunlight so maybe could do with a heater."
"Lily","Australia","Deluxe One Bedroom Private Pool Villa","5 nights","August 2023","Couple","August 12, 2023","8.0","Relaxed Ubud getaway","Positif: Beautiful light interior and surrounding of rice fields. | Negatif: Nothing wrong with the hotel, but bali traffic, 4.1km can take 1.5hr."
"Azuan","Malaysia","One Bedroom Private Pool Villa","2 nights","August 2023","Family","August 8, 2023","7.0","Good","Positif: Design and ambiance | Negatif: Location"
"Anita","New Zealand","Three Bedroom Private Pool Villa","3 nights","August 2023","Family","August 5, 2023","8.0","Very Good","Positif: Amazing staff. A+++++ I can't say enough about how lovely they were during our stay. Son was sick, got great advice about the hospital and then staff turned up in our villa with food for him to try and a get well soon card. My birthday and staff arrived with a cake and card signed by all staff for me. | Negatif: Housekeeping was a little lacking in some areas."
"Deep","India","Three Bedroom Private Pool Villa","1 night","July 2023","Couple","July 21, 2023","7.0","Average stay","Positif: Property is good and stay was also good, if you are searching for a good atmosphere then you must stay here. | Negatif: We booked a three bedroom villa but there is only 1 single master bedroom with a double bed and the other 2 bedrooms are with a single bed. So all bedrooms are not the same. They provided kitchen in villa but there is only fridge and electric kettle means no meaning of kitchen."
"Rayan","United States","Deluxe One Bedroom Private Pool Villa","7 nights","July 2023","Couple","July 20, 2023","7.0","It was good. But I would not go stay there again.","Positif: The staff were very nice. The nature around the place is beautiful. | Negatif: They do not change bed sheets. They just flip them over. The pool was broken down for three days. Construction noise in the villas will wake you up the morning. Very difficult to get taxi because the location is very remote. And when get a taxi it’s very expensive."
"Alethea","Singapore","One Bedroom Private Pool Villa","3 nights","July 2023","Couple","July 18, 2023","8.0","Quiet and serene villa stay at the outskirt of Ubud","Positif: Everything was perfect. The service was really good, the staff were courteous and friendly. | Negatif: Food could be better, lots more room for improvement"
"Pauline","New Zealand","Two Bedroom Private Pool Villa","1 night","May 2026","Family","May 26, 2026","9.0","Beautiful villa excellent staff","Positif: Staff were so friendly & made you feel very welcome , they went above & beyond,were so helpful towards us, I had my grandson who is 5 months old were very attentive , such great staff | Negatif: "
"Tejas","United Kingdom","Three Bedroom Private Pool Villa","2 nights","July 2025","Group","July 10, 2025","10","Lovely staff and lovely villas 🤗","Positif: Nice location and lovely staff | Negatif: Best vibe"
"Saravanamoorthy","India","Two Bedroom Private Pool Villa","3 nights","April 2025","Family","April 15, 2025","10","Excellent villas with private pool and spacious. Great service.","Positif: Excellent villas with private pool and spacious. Great service. | Negatif: "
"Lesele","South Africa","One Bedroom Private Pool Villa","1 night","August 2024","Couple","August 26, 2024","10","Best villa stay in Ubud.","Positif: The staff's competency, friendliness, and professionalism. | Negatif: The food selection could be wider for international visitors."
"Dianne","Australia","Three Bedroom Private Pool Villa","2 nights","August 2024","Group","August 15, 2024","10","Great","Positif: Staff were very friendly and the romantic dinner organised by Widiya for my parent’s birthday was perfect. Thank you | Negatif: "
"Pita","Germany","Two Bedroom Private Pool Villa","4 nights","March 2024","Family","April 17, 2024","10","Exceptional","Positif: Very nice, perfect for family | Negatif: "
"Shazrin","Malaysia","Three Bedroom Private Pool Villa","3 nights","March 2024","Family","March 13, 2024","10","Exceptional","Positif: Quiet and peaceful location | Negatif: -"
"Hafiz","Malaysia","Three Bedroom Private Pool Villa","1 night","February 2024","Family","February 22, 2024","2.0","Bad air-conditioning.","Positif: Nice villa with beautiful scenic area | Negatif: Stayed in 108 Pala villa. Expect to have good air-conditioned when you are staying in hot country like Bali. Called front desk many times to fix the aircond, they sent technician twice, still not able to fix the aircond, technician said that the hotel staff will contact us for further action. Waited few hours didnt get any calls from hotel, thus decide to call again the front desk. They said still waiting for the manager answer. No answer till we all check out. And no single apologies from the hotel staff @ manager. Our aircond was put on 18degree with max fan, but the temperature is like 26degree with slow fan until morning."
"Fiona","Ireland","Two Bedroom Private Pool Villa","1 night","October 2023","Family","October 31, 2023","10","Exceptional","Positif: The villa was beautiful | Negatif: Limited food and drink"
"Ahmed","Oman","Deluxe One Bedroom Private Pool Villa","1 night","October 2023","Couple","October 21, 2023","10","Exceptional","Positif: I liked everything abt this place its a gate away from the city for few days. Staff were so friendly food was amazing esp the floating breakfast... | Negatif: Nothing"
"Bambang","Indonesia","Two Bedroom Private Pool Villa","1 night","October 2023","Family","October 2, 2023","10","Great place to healing","Positif: Nice villa n view | Negatif: "
