reviewer_name,user_country,room_type,stay_duration_days,rating,review_text,review_date
Wahyu,Indonesia,Superior Triple,1,10.0,"Lokasi bagus dekat pantai, fasilitas oke, ada kolam renang, staff sangat ramah dan membantu","December 31, 2025"
paul,Australia,Standard Double Room with Fan,2,8.8,"If you want a getaway from it all place, this is it. It’s a surfer beach with a handful of warungs, bars and hotel restaurants. Most are perched on cliffs overlooking the sparkling black sands. The nearby area has no mini-marts or money changers, so come prepared if you are a cash person like me. Hotel Gubug has a great pool and a friendly staffed bar and restaurant. Rooms are basic but adequate. If you are a 5 star honcho then spend your mega bucks elsewhere, but for me who wanted a getaway, this is perfect…","December 08, 2025"
Asami,Indonesia,Standard,1,10.0,Me and my boyfriend love this places,"November 08, 2025"
Luke,Indonesia,Superior Triple,1,9.2,If you are there to surf then this hotel has a pool with a view of the wave. Certain rooms can see the wave as well and my partner saw me catch a wave while still lying in bed. Friendly staff and nice location.,"November 03, 2025"
GLENN,Australia,Standard Double Room with Fan,5,10.0,"Had a great time staying as usual, wayan and dewi are great to deal with see you guys soon 👌","August 26, 2025"
gary,Indonesia,Standard,3,10.0,clean friendly staff opposite beach  close to restaurants,"August 06, 2025"
Andrea,Australia,Standard Double Room with Fan,1,10.0,"Balian Beach is my favourite place in Bali so I love every single thing  that is located there including this accommodation. Friendly, 24/7, clean, modern, great view, hot water, cozy, wifi. Thank you so much for the great service! ⭐️⭐️⭐️⭐️⭐️","July 20, 2025"
daren,Indonesia,Standard Double Room with Fan,2,8.8,"Good location ,close to surf
Had a fan room , basic for a night or 2, short walk to the pool 30 metres","June 17, 2025"
Asami,Indonesia,Standard,1,10.0,Me and my husband love thiss placesssss.. ❤️,"May 14, 2025"
Asami,Indonesia,Standard,1,10.0,Me and my partner loved this places..,"May 14, 2025"
Ita,Indonesia,Standard Double Room with Fan,1,9.2,Great location. Pool is wonderful.  Great view.  Restaurant has good food. Staff are all friendly.,"April 20, 2025"
Harold,Australia,Standard,9,8.8,"Overlooks pleasant garden and a big lap pool. And the ocean waves.unfortunately a storm wiped out the wifi for a few days,but eventually they got a new router going.Rooms don't have bedside cupboards.","March 31, 2025"
Ana,Australia,Superior Triple,3,9.6,Definitely value for money ! The staff were awesome and the food and drinks are very affordable and fairly priced. We would and definitely will return ! Only thing is beds are slightly uncomfortable,"March 28, 2025"
Asami,Indonesia,Standard,1,8.8,This good places with nice view.,"March 02, 2025"
stephen,Australia,Standard,3,10.0,Quite a nice place great value and great location I will definitely stay here again.,"February 21, 2025"
Lola,France,Standard Double Room with Fan,2,8.8,"A great room in front of the ocean, breathtaking view. The pool and sunbath seats are amazing, the breakfast is so good. We add a really good time there, didn’t want to leave. A little effort would be good on cleanliness :)","August 10, 2024"
Grace,Philippines,Superior Triple,2,9.2,Room was clean.  Great location.,"July 17, 2024"
Andrea,Indonesia,Standard Double Room with Fan,1,6.4,"The view from the pool and the bar is really beautiful to watch the surfers. The rooms were not that much clean, there was no hot water and really weak water pressure. the construction all the mornings","April 22, 2024"
Benjamin,United States,Standard,3,9.6,"The property could use a bit of updating but it was clean, affordable, and close to all the action.

Be sure to check that you get an AC room when you book","April 19, 2024"
