Nama,Tipe Traveler,Tanggal,Skor,Review
BF,,3 Sep 2024,"5,0","Pemandangan yang indah karena lokasinya yang strategis, pelayanan yang ramah dan cepat, sangat bagus sekali."
KA,,15 May 2024,"5,0","Makanannya sangat enak, pemandangannya terbaik di sini. Sangat tenang dan nyaman. Saya pasti akan kembali ke sini nanti. Destinasi wajib dari Gilimanuk ke Denpasar."
QN,,16 Nov 2024,"4,8","Saya berkunjung ke Pondok Pitaya bersama teman-teman saya dan sangat puas dengan pemandangan tamannya yang indah. Selain itu, makanannya juga sangat enak. Stafnya ramah dan profesional. Saya ingin kem..."
IS,,8 Nov 2024,"4,8",Hotel yang memberikan suasana yang nyaman. Terima kasih Pondok Pitaya.
ZR,,25 Sep 2024,"4,8",Penginapan terbaik dengan nuansa alam yang bagus dan nyaman. Sangat keren. Terima kasih Pondok Pitaya.
CN,,7 Aug 2024,"4,8",Tempat yang bagus dan indah untuk menginap. Pelayanannya juga ramah dan bersahabat.
CA,,12 Mar 2024,"4,8","Tempat yang nyaman untuk berlibur dengan lokasi yang dekat dengan pantai. Pelayanannya luar biasa, terima kasih Pondok Pitaya."
YB,,25 Feb 2024,"4,8","I recently spent a month at pondok pitaya and used the discounted rate. It met all my expectations. A prime location. The cuisine was delicious, and the atmosphere was lively. The staff went above and..."
UC,,11 Oct 2023,"4,8","Saya mengunjungi Pondok Pitaya bersama teman-teman saya dan sangat puas dengan pemandangan tamannya yang indah. Selain itu, makanannya juga sangat enak. Stafnya ramah dan profesional. Saya ingin kemba..."
UE,,6 Sep 2023,"4,8","Hotel ini sangat bagus dan nyaman, terletak di tepi pantai, pemandangannya juga sangat indah, saya tidak menyesal menginap di sini dan ingin kembali jika saya kembali ke Bali."
DJ,,20 Jul 2023,"4,8","I had a wonderful stay at pondak pitaya at the beginning of October. What a vibe! The river suite rooms were amazing, with excellent service, comfortable beds, and cleanliness. The grounds were meticu..."
SH,,1 May 2023,"4,8","Tempat yang sangat nyaman untuk liburan keluarga, dengan nuansa Bali yang sangat kental dan tempat yang paling cocok jika berlibur ke Bali dengan pemandangan langsung ke pantai."
EC,,19 Feb 2023,"4,8","Hotel yang bagus dan nyaman di tepi pantai, pemandangannya juga sangat indah, saya tidak menyesal menginap di sini dan ingin kembali jika saya kembali ke Bali."
RZ,,19 Jan 2023,"4,8",The pondok pitaya was exactly what we needed. Excellent location with stunning views and sunsets on a perfect surf break with lovely daily yoga classes. Simple accommodation with everything you need. ...
NP,,5 Jan 2023,"4,8","This Condo Pity has the best location in Bali, right on the water edge. Large lawns and yoga shales are ideal for groups. We recently celebrated a birthday there and the staff couldn't have been more ..."
KO,,27 Sep 2024,"4,6","Tempat yang nyaman untuk liburan, sangat direkomendasikan untuk recharge. Pelayanan yang ramah dan menyenangkan dari petugas hotel. Nasi goreng andalan yang enak untuk sarapan. Selangkah dari pantai u..."
CR,,9 Sep 2024,"4,6",Penginapan ini terletak persis di tepi pantai BALIAN.
PV,,31 Jul 2024,"4,6",Pitaya hotel adalah tempat saya mencari nafkah.
KL,,27 Jul 2024,"4,6","Pemandangan yang sangat bagus, suasana yang sangat nyaman dan tenang."
EG,,13 Jul 2024,"4,6","Pemandangannya indah banget karena lokasinya strategis, pelayanannya ramah dan cepat. Pokoknya juara deh."
XR,,20 Jun 2024,"4,6",Tempatnya sangat nyaman dan sangat asri. Cocok untuk yang ingin healing. Terima kasih banyak Pondok Pitaya.
TB,,3 Jun 2024,"4,6",Tempatnya sangat nyaman dengan fasilitas yang memadai. Cocok untuk pasangan yang baru menikah untuk bulan madu.
XY,,31 May 2024,"4,6",Pondok Pitaya memberikan pengalaman menginap yang berkesan. Suasananya nyaman dan pelayanannya sangat memuaskan. Terima kasih.
QN,,3 Jan 2024,"4,6",Hotel yang sangat bagus. Pelayanan yang baik dan pemandangan yang sangat bagus.
