username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Wijaya,Indonesia,Standard Double or Twin Room,1 night,Couple,11-04-2023 00:00:00,Great value for money,10.0,en-us,"The hotel team has always been friendly, patient and helpful. The room was cozy and clean.",,"title: Great value for money. liked: The hotel team has always been friendly, patient and helpful. The room was cozy and clean.","title: Great value for money. liked: The hotel team has always been friendly, patient and helpful. The room was cozy and clean.",0,0,"Thank you for your review, we appreciate it so much."
Kim,Australia,Superior Double or Twin Room,4 nights,Couple,12-04-2025 00:00:00,Would stay again,9.0,en,Great location Comfortable bed Good size room,,title: Would stay again. liked: Great location Comfortable bed Good size room.,title: Would stay again. liked: Great location Comfortable bed Good size room.,0,0,
Brad,Australia,Deluxe Double Room,1 night,Group,11-22-2025 00:00:00,Great budget hotel,8.0,en,Location,Nothing,title: Great budget hotel. liked: Location. disliked: Nothing.,title: Great budget hotel. liked: Location. disliked: Nothing.,0,0,
John,Australia,Standard Double or Twin Room,3 nights,Solo traveller,11-17-2025 00:00:00,"Great value ,super friendly staff with a good location",8.0,en-us,Location very central nice sunset area on rooftop area,Could have cooler air conditioning,"title: Great value ,super friendly staff with a good location. liked: Location very central nice sunset area on rooftop area. disliked: Could have cooler air conditioning.","title: Great value ,super friendly staff with a good location. liked: Location very central nice sunset area on rooftop area. disliked: Could have cooler air conditioning.",0,0,
Kevin,New Zealand,Economy Double Room,2 nights,Solo traveller,10-16-2025 00:00:00,Very good,8.0,en-us,Very nice stay. Staff welcoming. Wifi and Aircon ok. Bed comfortable. Stayed 2 days.. Bathroom ok,"I had car, not much room out front , but staff moved bikes so my car could fit.","title: Very good. liked: Very nice stay. Staff welcoming. Wifi and Aircon ok. Bed comfortable. Stayed 2 days.. Bathroom ok. disliked: I had car, not much room out front , but staff moved bikes so my car could fit.","title: Very good. liked: Very nice stay. Staff welcoming. Wifi and Aircon ok. Bed comfortable. Stayed 2 days.. Bathroom ok. disliked: I had car, not much room out front , but staff moved bikes so my car could fit.",0,0,
Jan,Australia,Superior Double or Twin Room,7 nights,Couple,10-10-2025 00:00:00,Great value for money.,9.0,en,Great location. Perfect for what we wanted.,Would like a top sheet on bed as well as the doona.,title: Great value for money. liked: Great location. Perfect for what we wanted. disliked: Would like a top sheet on bed as well as the doona.,title: Great value for money. liked: Great location. Perfect for what we wanted. disliked: Would like a top sheet on bed as well as the doona.,0,0,
Gabriel,United States,Standard Double or Twin Room,1 night,Solo traveller,09-11-2025 00:00:00,Good budget option close to the surf,7.0,en,"Close to the surf. Walking distance to Balian restaurants. Easy parking, easy access. AC and WiFi dependable. Surf racks for your board",,"title: Good budget option close to the surf. liked: Close to the surf. Walking distance to Balian restaurants. Easy parking, easy access. AC and WiFi dependable. Surf racks for your board.","title: Good budget option close to the surf. liked: Close to the surf. Walking distance to Balian restaurants. Easy parking, easy access. AC and WiFi dependable. Surf racks for your board.",0,0,"Dear Gabriel Cisneros Igonda Thank you for your positive review! We're thrilled to hear that you found our location convenient for accessing the surf and nearby restaurants. It's great to know that you appreciated the easy parking, reliable AC and WiFi, as well as the surf racks we provide. Your feedback is valuable, and we hope to welcome you back for another enjoyable stay soon! Happy surfing! Regards Hotel Manager"
Shanie,Indonesia,Economy Double Room,1 night,Couple,08-13-2025 00:00:00,Good,7.0,en-us,It is 50 meter from the beach. The room is spacious and clean.,"They don't have a rack to hang wet towels. The pool is not that clean. Guess, with the sea right in front of you, better to dip in sea instead. Seems like they also have long term guest","title: Good. liked: It is 50 meter from the beach. The room is spacious and clean. disliked: They don't have a rack to hang wet towels. The pool is not that clean. Guess, with the sea right in front of you, better to dip in sea instead. Seems like they also have long term guest.","title: Good. liked: It is 50 meter from the beach. The room is spacious and clean. disliked: They don't have a rack to hang wet towels. The pool is not that clean. Guess, with the sea right in front of you, better to dip in sea instead. Seems like they also have long term guest.",0,0,
Tandy,Australia,Deluxe Double Room,7 nights,Group,08-02-2025 00:00:00,Superb,9.0,en,"Balian Paradise Hotel is a little gem nestled just behind the main Balian Beach which is about 200meters walk. The hotel itself is basic but clean and very comfortable for the price. The rooms are minimalistic but have all the necessary comforts, bed with clean and fresh linen, fridge, kettle, great aircon, TV (netflix etc etc), bathroom. The pool area is small but adequate and is a delightful reprieve on those hot days when a quick cool down is a must!!. The restaurant attached to the hotel does basic meals nasi and mie goreng etc.....the Nasi in particular according to my travel buddys is the best they have tasted!! The staff are incredibly helpful and friendly at all times, no request is a bother for any of them. A lovely little hotel away from the hustle and bustle of the main bali areas.....dont expect fancy, but you will get a good base to come home to of an evening after exploring all the wonderful things on offer in the area. Highly recommend.",The Pool area and Wall could do with a wee bit of a spruce up in the future.,"title: Superb. liked: Balian Paradise Hotel is a little gem nestled just behind the main Balian Beach which is about 200meters walk. The hotel itself is basic but clean and very comfortable for the price. The rooms are minimalistic but have all the necessary comforts, bed with clean and fresh linen, fridge, kettle, great aircon, TV (netflix etc etc), bathroom. The pool area is small but adequate and is a delightful reprieve on those hot days when a quick cool down is a must!!. The restaurant attached to the hotel does basic meals nasi and mie goreng etc.....the Nasi in particular according to my travel buddys is the best they have tasted!! The staff are incredibly helpful and friendly at all times, no request is a bother for any of them. A lovely little hotel away from the hustle and bustle of the main bali areas.....dont expect fancy, but you will get a good base to come home to of an evening after exploring all the wonderful things on offer in the area. Highly recommend. disliked: The Pool area and Wall could do with a wee bit of a spruce up in the future.","title: Superb. liked: Balian Paradise Hotel is a little gem nestled just behind the main Balian Beach which is about 200meters walk. The hotel itself is basic but clean and very comfortable for the price. The rooms are minimalistic but have all the necessary comforts, bed with clean and fresh linen, fridge, kettle, great aircon, TV (netflix etc etc), bathroom. The pool area is small but adequate and is a delightful reprieve on those hot days when a quick cool down is a must!!. The restaurant attached to the hotel does basic meals nasi and mie goreng etc.....the Nasi in particular according to my travel buddys is the best they have tasted!! The staff are incredibly helpful and friendly at all times, no request is a bother for any of them. A lovely little hotel away from the hustle and bustle of the main bali areas.....dont expect fancy, but you will get a good base to come home to of an evening after exploring all the wonderful things on offer in the area. Highly recommend. disliked: The Pool area and Wall could do with a wee bit of a spruce up in the future.",1,0,
Beth,Australia,Standard Twin Room,2 nights,Family,07-27-2025 00:00:00,Budget hotel value for money,9.0,en,Location was fabulous. Great price for a budget hotel with a pool in a great location close to beach. Breakfast was wonderful.,Nothing really.,title: Budget hotel value for money. liked: Location was fabulous. Great price for a budget hotel with a pool in a great location close to beach. Breakfast was wonderful. disliked: Nothing really.,title: Budget hotel value for money. liked: Location was fabulous. Great price for a budget hotel with a pool in a great location close to beach. Breakfast was wonderful. disliked: Nothing really.,1,0,
