username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
John,Qatar,Superior Double Room,1 night,Family,05-04-2025 00:00:00,Really helpful owner and comfortable room exactly as described,10.0,en,The location was great close to the lake and Bali Bike Park where we were riding,,title: Really helpful owner and comfortable room exactly as described. liked: The location was great close to the lake and Bali Bike Park where we were riding.,title: Really helpful owner and comfortable room exactly as described. liked: The location was great close to the lake and Bali Bike Park where we were riding.,0,0,"Dear John. Thank you for your perfect review, glad to know that you enjoy your stay. Looking forward to welcome you back again. Regards CsS management"
Thomas,United Kingdom,Superior Double Room,1 night,Solo traveller,03-05-2026 00:00:00,Superb,9.0,en,"Very lovely man running this place, he was very friendly. Ideal for a short stay.",Towels and bedding could have been a bit cleaner.,"title: Superb. liked: Very lovely man running this place, he was very friendly. Ideal for a short stay. disliked: Towels and bedding could have been a bit cleaner.","title: Superb. liked: Very lovely man running this place, he was very friendly. Ideal for a short stay. disliked: Towels and bedding could have been a bit cleaner.",0,0,Thank you for your review. Special case : we will very attention to the cleanliness of the towels and beds.
Suryadi,Indonesia,Superior Double Room,1 night,Couple,10-01-2025 00:00:00,Exceptional,10.0,en,"This is my second stay at your property, and I would be delighted to return again in the future. The hotel is clean and comfortable, the owner and staff are very friendly, and the pricing is reasonable for the quality and service provided. I will certainly choose to stay here again next time.",Nothing,"title: Exceptional. liked: This is my second stay at your property, and I would be delighted to return again in the future. The hotel is clean and comfortable, the owner and staff are very friendly, and the pricing is reasonable for the quality and service provided. I will certainly choose to stay here again next time. disliked: Nothing.","title: Exceptional. liked: This is my second stay at your property, and I would be delighted to return again in the future. The hotel is clean and comfortable, the owner and staff are very friendly, and the pricing is reasonable for the quality and service provided. I will certainly choose to stay here again next time. disliked: Nothing.",0,0,Dear Mr. Suryadi Apologies for the late response. Glad to know that you enjoy your stay and already 2nd time here. Hope to be able to meet your satisfaction everytime you visit us. See you soon in the near future
Jane,Indonesia,Standard Double Room,1 night,Couple,09-25-2025 00:00:00,A cozy stay with warm hospitality in a beautiful lakeside setting.,10.0,en-us,"I loved the cozy and comfortable bed with the warm blanket, which made the weather so enjoyable. The staff were very kind and welcoming. The environment and surroundings were beautiful, especially being so close to the lake—perfect for a peaceful morning stroll.","Nothing at all, I liked everything.","title: A cozy stay with warm hospitality in a beautiful lakeside setting. liked: I loved the cozy and comfortable bed with the warm blanket, which made the weather so enjoyable. The staff were very kind and welcoming. The environment and surroundings were beautiful, especially being so close to the lake—perfect for a peaceful morning stroll. disliked: Nothing at all, I liked everything.","title: A cozy stay with warm hospitality in a beautiful lakeside setting. liked: I loved the cozy and comfortable bed with the warm blanket, which made the weather so enjoyable. The staff were very kind and welcoming. The environment and surroundings were beautiful, especially being so close to the lake—perfect for a peaceful morning stroll. disliked: Nothing at all, I liked everything.",0,0,"Dear Jane, First of all, apol9gira for the lare response. Glad to know that you enjoy your stay for the staycation here. Hope to be able to meet your satisfactionso eevery time you go to Bedugul, you could meet us and stay with us Thank you CsS management"
Fry,United Kingdom,Superior Double Room,2 nights,Solo traveller,06-23-2025 00:00:00,Exceptional,10.0,en,"The concept and Ari, the manager.",,"title: Exceptional. liked: The concept and Ari, the manager.","title: Exceptional. liked: The concept and Ari, the manager.",0,0,"Thank you for your review and glad to know you, for your stay at CsS. Looking forward to your welcome back. Best regards CsS management"
Wdeb,Netherlands,Superior Double Room,2 nights,Couple,03-18-2025 00:00:00,Exceptional,10.0,en-us,"This was my second time staying at Container Smart Stay CSS, and once again, it was a fantastic experience. The host, Kadek, was incredibly welcoming and made sure we felt right at home. We also had the pleasure of meeting the owners, who are truly kind and wonderful people. The rooms were clean and comfortable, providing a perfect place to relax after a day of exploring. If you love nature, there’s plenty to do in the area. From visiting the Botanical Garden and the nearby lake to riding a scooter through the scenic hills, there’s no shortage of beautiful sights to enjoy. Highly recommend staying here, and I’ll definitely be back!",-,"title: Exceptional. liked: This was my second time staying at Container Smart Stay CSS, and once again, it was a fantastic experience. The host, Kadek, was incredibly welcoming and made sure we felt right at home. We also had the pleasure of meeting the owners, who are truly kind and wonderful people. The rooms were clean and comfortable, providing a perfect place to relax after a day of exploring. If you love nature, there’s plenty to do in the area. From visiting the Botanical Garden and the nearby lake to riding a scooter through the scenic hills, there’s no shortage of beautiful sights to enjoy. Highly recommend staying here, and I’ll definitely be back! disliked: -","title: Exceptional. liked: This was my second time staying at Container Smart Stay CSS, and once again, it was a fantastic experience. The host, Kadek, was incredibly welcoming and made sure we felt right at home. We also had the pleasure of meeting the owners, who are truly kind and wonderful people. The rooms were clean and comfortable, providing a perfect place to relax after a day of exploring. If you love nature, there’s plenty to do in the area. From visiting the Botanical Garden and the nearby lake to riding a scooter through the scenic hills, there’s no shortage of beautiful sights to enjoy. Highly recommend staying here, and I’ll definitely be back! disliked: -",0,0,
Denny,Indonesia,Standard Double Room,1 night,Solo traveller,12-06-2024 00:00:00,Exceptional,10.0,en-us,The place os very comfortable and is very unique.. have BBQ on request its good fpr healing from the city. Staff are very helpfull. The room is clean,,title: Exceptional. liked: The place os very comfortable and is very unique.. have BBQ on request its good fpr healing from the city. Staff are very helpfull. The room is clean.,title: Exceptional. liked: The place os very comfortable and is very unique.. have BBQ on request its good fpr healing from the city. Staff are very helpfull. The room is clean.,0,0,Dear Mr. Denny Thank you so much for your review. Regards CsS management
Lisa,Canada,Superior Double Room,3 nights,Solo traveller,10-16-2024 00:00:00,Exceptional,10.0,en,All was good,Nothing,title: Exceptional. liked: All was good. disliked: Nothing.,title: Exceptional. liked: All was good. disliked: Nothing.,0,0,
Agnes,France,Superior Double Room,1 night,Solo traveller,09-02-2024 00:00:00,Great cute hotel but please change the mattresses 😊,9.0,en-us,Everything was great especially the staff ! They were so nice and helpful ! Thank you 😊,The mattress was almost inexistent,title: Great cute hotel but please change the mattresses 😊. liked: Everything was great especially the staff ! They were so nice and helpful ! Thank you 😊. disliked: The mattress was almost inexistent.,title: Great cute hotel but please change the mattresses 😊. liked: Everything was great especially the staff ! They were so nice and helpful ! Thank you 😊. disliked: The mattress was almost inexistent.,0,0,"Dear Mr/s Agnes Thank you for you review and we are glad to know that you have a nice experience. noted for the matrass, we will tray to improve it. Regards CsS management"
Richard,Hungary,Superior Double Room,1 night,Couple,07-20-2024 00:00:00,Very good,8.0,en,Everything was good just at night this house is very cold. (In this time in the year) Should be more blanket in the room.,,title: Very good. liked: Everything was good just at night this house is very cold. (In this time in the year) Should be more blanket in the room.,title: Very good. liked: Everything was good just at night this house is very cold. (In this time in the year) Should be more blanket in the room.,0,0,
