username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Jean-pol,Belgium,Superior Room,1 night,Family,06-18-2024 00:00:00,Exceptional,10.0,en,All .. and GEDE was fantastic with us. We forgot to pay the breakfast and he help us after thé check-out.. thanks GEDE for your attitude ....,Nothing,title: Exceptional. liked: All .. and GEDE was fantastic with us. We forgot to pay the breakfast and he help us after thé check-out.. thanks GEDE for your attitude .... disliked: Nothing.,title: Exceptional. liked: All .. and GEDE was fantastic with us. We forgot to pay the breakfast and he help us after thé check-out.. thanks GEDE for your attitude .... disliked: Nothing.,1,0,
Olesya,Indonesia,Superior Room,1 night,Couple,12-08-2025 00:00:00,I will definitely come back.,9.0,en,"Amazing location, little bit isolated, but I love it. Large beautiful territory, birdsong, ocean nearby, big swimming pool.",,"title: I will definitely come back. liked: Amazing location, little bit isolated, but I love it. Large beautiful territory, birdsong, ocean nearby, big swimming pool.","title: I will definitely come back. liked: Amazing location, little bit isolated, but I love it. Large beautiful territory, birdsong, ocean nearby, big swimming pool.",0,0,
Karen,Australia,Superior Room,8 nights,Family,10-23-2025 00:00:00,Very good,8.0,en,Sound of crashing waves. Room was large and well equipped. Grounds lovely to walk in.,Mostly did not see other people other than staff as large property with space between rooms. Felt isolated. Too far to walk to Warung or alternative nearly one hr,title: Very good. liked: Sound of crashing waves. Room was large and well equipped. Grounds lovely to walk in. disliked: Mostly did not see other people other than staff as large property with space between rooms. Felt isolated. Too far to walk to Warung or alternative nearly one hr.,title: Very good. liked: Sound of crashing waves. Room was large and well equipped. Grounds lovely to walk in. disliked: Mostly did not see other people other than staff as large property with space between rooms. Felt isolated. Too far to walk to Warung or alternative nearly one hr.,0,0,
Karen,Australia,Superior Room,2 nights,Family,10-20-2025 00:00:00,Superb,9.0,en,Everything at resort great but to eat out of resort too far to walk over 40 min. Food great. Felt like only person at resort,,title: Superb. liked: Everything at resort great but to eat out of resort too far to walk over 40 min. Food great. Felt like only person at resort.,title: Superb. liked: Everything at resort great but to eat out of resort too far to walk over 40 min. Food great. Felt like only person at resort.,0,0,
Rebecca,Australia,Honeymoon Suite,1 night,Couple,10-10-2025 00:00:00,Superb,9.0,en,"Perfect for us as we wanted to relax after travelling a lot, but not much around if you",,"title: Superb. liked: Perfect for us as we wanted to relax after travelling a lot, but not much around if you.","title: Superb. liked: Perfect for us as we wanted to relax after travelling a lot, but not much around if you.",0,0,
Yuki,Australia,Bungalow with Garden View,4 nights,Family,09-29-2025 00:00:00,Please fix shower room drains,7.0,en,Garden was beautiful set up,Front of the beach but you can’t swim,title: Please fix shower room drains. liked: Garden was beautiful set up. disliked: Front of the beach but you can’t swim.,title: Please fix shower room drains. liked: Garden was beautiful set up. disliked: Front of the beach but you can’t swim.,0,0,
Tanya,Australia,Bungalow with Garden View,2 nights,Solo traveller,08-15-2025 00:00:00,Very good,8.0,en-us,Villa was awesome. Location stunningly beautiful.,,title: Very good. liked: Villa was awesome. Location stunningly beautiful.,title: Very good. liked: Villa was awesome. Location stunningly beautiful.,0,0,
Michelle,Australia,Bungalow with Garden View,2 nights,Group,07-19-2025 00:00:00,Perfect for me - lots of birds & butterflies,9.0,en,"Peaceful private beautiful garden - great views, lovely pool",Sliding door didn’t open and shut smoothly,"title: Perfect for me - lots of birds & butterflies. liked: Peaceful private beautiful garden - great views, lovely pool. disliked: Sliding door didn’t open and shut smoothly.","title: Perfect for me - lots of birds & butterflies. liked: Peaceful private beautiful garden - great views, lovely pool. disliked: Sliding door didn’t open and shut smoothly.",0,0,
Leah,Australia,Two Bedroom Villa with Ocean View,3 nights,Family,04-22-2025 00:00:00,Hidden gem,9.0,en,"You feel like you are walking around a 100 year old secret garden. Private black sand beach, incredible food, views, walks. The craftsmanship on all facilities has stood the test of time.",The ant situation in my room. The spray helped.,"title: Hidden gem. liked: You feel like you are walking around a 100 year old secret garden. Private black sand beach, incredible food, views, walks. The craftsmanship on all facilities has stood the test of time. disliked: The ant situation in my room. The spray helped.","title: Hidden gem. liked: You feel like you are walking around a 100 year old secret garden. Private black sand beach, incredible food, views, walks. The craftsmanship on all facilities has stood the test of time. disliked: The ant situation in my room. The spray helped.",0,0,
Siddhartha,Australia,Superior Room,2 nights,Family,03-17-2025 00:00:00,Very good,8.0,en,Location and staff.,The whipper-snipper used around the room every morning. No curtains on the east facing windows. Don't expect a sleep in.,title: Very good. liked: Location and staff. disliked: The whipper-snipper used around the room every morning. No curtains on the east facing windows. Don't expect a sleep in.,title: Very good. liked: Location and staff. disliked: The whipper-snipper used around the room every morning. No curtains on the east facing windows. Don't expect a sleep in.,1,0,
Ian,United Kingdom,Honeymoon Suite,2 nights,Couple,02-07-2025 00:00:00,We extended for three more nights - a hidden gem,8.0,en,"Crashing waves, nature, beach walking Imagine being literally two out three people walking on a deserted tropical beach. The food is really good, showers and bath great and then the friendliness of the staff. This place might seem rustic at first and don’t go if you want perfect corporate bling. This place is about nature, the sea and friendship,","Not much, it’s a homely beautiful place","title: We extended for three more nights - a hidden gem. liked: Crashing waves, nature, beach walking Imagine being literally two out three people walking on a deserted tropical beach. The food is really good, showers and bath great and then the friendliness of the staff. This place might seem rustic at first and don’t go if you want perfect corporate bling. This place is about nature, the sea and friendship, disliked: Not much, it’s a homely beautiful place.","title: We extended for three more nights - a hidden gem. liked: Crashing waves, nature, beach walking Imagine being literally two out three people walking on a deserted tropical beach. The food is really good, showers and bath great and then the friendliness of the staff. This place might seem rustic at first and don’t go if you want perfect corporate bling. This place is about nature, the sea and friendship, disliked: Not much, it’s a homely beautiful place.",0,0,
