username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Stu,Australia,Jungle Tent,3 nights,Solo traveller,03-31-2025 00:00:00,Hidden gems exist!,10.0,en,"What can I say… Green Lava Lake View Glamping, you are AMAZING! I found you by accident & now want to stay longer. Tucked away just behind town’s hustle & bustle, GLLVG is perfectly located to switch-off, relax & explore. It’s not over-blown glamping if you’re use to that but glamping that still gives you a few modern luxuries. Met upon arrival & my backpack carried to my tent for me, I already was impressed. The tent has what you need for a short stay, power & a light even under the bed to aid those late night trips to the toilet. & speaking of toilet it is as modern as you need for a glamping stay over to your next destination. Then the view! Considering you’re just above town, you’ve got a treescape view over the lake, the complex’s fire pit that’s lit at night as long as it isn’t raining, beautiful gardens & finally the jacuzzi, though the water is cold…. Though yes you read correctly, jacuzzi! Helpful staff when you need but otherwise they tuck themselves away so you can enjoy. So what have you got to lose! If you like glamping so you’ve got some modern conveniences then this is your place. I’ll be recommending✅ 😊",,"title: Hidden gems exist! liked: What can I say… Green Lava Lake View Glamping, you are AMAZING! I found you by accident & now want to stay longer. Tucked away just behind town’s hustle & bustle, GLLVG is perfectly located to switch-off, relax & explore. It’s not over-blown glamping if you’re use to that but glamping that still gives you a few modern luxuries. Met upon arrival & my backpack carried to my tent for me, I already was impressed. The tent has what you need for a short stay, power & a light even under the bed to aid those late night trips to the toilet. & speaking of toilet it is as modern as you need for a glamping stay over to your next destination. Then the view! Considering you’re just above town, you’ve got a treescape view over the lake, the complex’s fire pit that’s lit at night as long as it isn’t raining, beautiful gardens & finally the jacuzzi, though the water is cold…. Though yes you read correctly, jacuzzi! Helpful staff when you need but otherwise they tuck themselves away so you can enjoy. So what have you got to lose! If you like glamping so you’ve got some modern conveniences then this is your place. I’ll be recommending✅ 😊.","title: Hidden gems exist! liked: What can I say… Green Lava Lake View Glamping, you are AMAZING! I found you by accident & now want to stay longer. Tucked away just behind town’s hustle & bustle, GLLVG is perfectly located to switch-off, relax & explore. It’s not over-blown glamping if you’re use to that but glamping that still gives you a few modern luxuries. Met upon arrival & my backpack carried to my tent for me, I already was impressed. The tent has what you need for a short stay, power & a light even under the bed to aid those late night trips to the toilet. & speaking of toilet it is as modern as you need for a glamping stay over to your next destination. Then the view! Considering you’re just above town, you’ve got a treescape view over the lake, the complex’s fire pit that’s lit at night as long as it isn’t raining, beautiful gardens & finally the jacuzzi, though the water is cold…. Though yes you read correctly, jacuzzi! Helpful staff when you need but otherwise they tuck themselves away so you can enjoy. So what have you got to lose! If you like glamping so you’ve got some modern conveniences then this is your place. I’ll be recommending✅ 😊.",0,0,
Sandra,Australia,Jungle Tent,1 night,Couple,11-08-2025 00:00:00,Superb,9.0,en,View of the lake was lovely. Gardens where beautiful and nicely maintained.Great fire pit area.staff friendly and helpful.,,title: Superb. liked: View of the lake was lovely. Gardens where beautiful and nicely maintained.Great fire pit area.staff friendly and helpful.,title: Superb. liked: View of the lake was lovely. Gardens where beautiful and nicely maintained.Great fire pit area.staff friendly and helpful.,0,0,
Melinda,Hungary,Jungle Tent,1 night,Couple,10-08-2025 00:00:00,Superb,9.0,en,Everything was good.,.,title: Superb. liked: Everything was good. disliked: .,title: Superb. liked: Everything was good. disliked: .,0,0,
Melinda,Hungary,Jungle Tent,1 night,Couple,10-06-2025 00:00:00,Superb,9.0,en,"The accommodation is very nice and charming, the staff equally kind and helpful in every way. The breakfast is delicious, and the view from the dining terrace is wonderful. The room is comfortable, and it has all the essentials; the garden is very tidy. In the evening they lit a fire for us, which was really great.","It’s important to know that you have to leave the tent to use the bathroom. The tent was a bit moldy — if you’re sensitive to that, this place may not be for you. Overall everything was very good; the water in the jacuzzi was cool, they just need to warm it up a little for it to really be enjoyable. But that's all.","title: Superb. liked: The accommodation is very nice and charming, the staff equally kind and helpful in every way. The breakfast is delicious, and the view from the dining terrace is wonderful. The room is comfortable, and it has all the essentials; the garden is very tidy. In the evening they lit a fire for us, which was really great. disliked: It’s important to know that you have to leave the tent to use the bathroom. The tent was a bit moldy — if you’re sensitive to that, this place may not be for you. Overall everything was very good; the water in the jacuzzi was cool, they just need to warm it up a little for it to really be enjoyable. But that's all.","title: Superb. liked: The accommodation is very nice and charming, the staff equally kind and helpful in every way. The breakfast is delicious, and the view from the dining terrace is wonderful. The room is comfortable, and it has all the essentials; the garden is very tidy. In the evening they lit a fire for us, which was really great. disliked: It’s important to know that you have to leave the tent to use the bathroom. The tent was a bit moldy — if you’re sensitive to that, this place may not be for you. Overall everything was very good; the water in the jacuzzi was cool, they just need to warm it up a little for it to really be enjoyable. But that's all.",0,0,
Dewi,Indonesia,Jungle Tent,1 night,Family,08-17-2025 00:00:00,my favorite glamping,8.0,en-us,Location is great,matress is not even and blanket is too thin I brought my own blanket from home,title: my favorite glamping. liked: Location is great. disliked: matress is not even and blanket is too thin I brought my own blanket from home.,title: my favorite glamping. liked: Location is great. disliked: matress is not even and blanket is too thin I brought my own blanket from home.,0,0,
Jeroen,Indonesia,Jungle Tent,1 night,Solo traveller,07-26-2025 00:00:00,Superb,9.0,en,"Stunning place, really beautiful. Excellent staff, let me store my bags until next check in. Very clean, free breakfast at hot sugar Cafe 50m down the road - beautiful setting.","Hot tub not on (pretty sure it's meant to be hot but perhaps I'm mistaken). I'm very noise sensitive so I struggled with the road/town and neighbour noises, but you get that in a tent.","title: Superb. liked: Stunning place, really beautiful. Excellent staff, let me store my bags until next check in. Very clean, free breakfast at hot sugar Cafe 50m down the road - beautiful setting. disliked: Hot tub not on (pretty sure it's meant to be hot but perhaps I'm mistaken). I'm very noise sensitive so I struggled with the road/town and neighbour noises, but you get that in a tent.","title: Superb. liked: Stunning place, really beautiful. Excellent staff, let me store my bags until next check in. Very clean, free breakfast at hot sugar Cafe 50m down the road - beautiful setting. disliked: Hot tub not on (pretty sure it's meant to be hot but perhaps I'm mistaken). I'm very noise sensitive so I struggled with the road/town and neighbour noises, but you get that in a tent.",0,0,
Simon,Portugal,Jungle Tent,1 night,Solo traveller,06-18-2025 00:00:00,Exceptional,10.0,en,Everything!,Nothing!,title: Exceptional. liked: Everything! disliked: Nothing!,title: Exceptional. liked: Everything! disliked: Nothing!,0,0,
Antoine,France,Jungle Tent,1 night,Couple,05-21-2025 00:00:00,Very good,8.0,en,"Nice place, especially the garden and cosy tent. Staff was nice even though their English is basic",Breakfast is only possible at 9:00 and was not very plentiful,"title: Very good. liked: Nice place, especially the garden and cosy tent. Staff was nice even though their English is basic. disliked: Breakfast is only possible at 9:00 and was not very plentiful.","title: Very good. liked: Nice place, especially the garden and cosy tent. Staff was nice even though their English is basic. disliked: Breakfast is only possible at 9:00 and was not very plentiful.",0,0,
Todd,United States,Jungle Tent with Jacuzzi Access,2 nights,Couple,04-11-2025 00:00:00,"Lovely, simple. Great location. A couple of nights is good.",8.0,en-us,"Nice, new glamping camp ground. Very simple structured tents, has the basics for what you need. Beautiful landscaping to make it cozy and memorable. Very nice communal camp fire shared with a few tents.",The hot tub is a communal tub made from a huge stone but the water isn’t hot. Was looking forward to a warm soak. The staff was very accommodating when asked for assistance but it took some effort to request what was needed. Some hospitality training would help the facility.,"title: Lovely, simple. Great location. A couple of nights is good. liked: Nice, new glamping camp ground. Very simple structured tents, has the basics for what you need. Beautiful landscaping to make it cozy and memorable. Very nice communal camp fire shared with a few tents. disliked: The hot tub is a communal tub made from a huge stone but the water isn’t hot. Was looking forward to a warm soak. The staff was very accommodating when asked for assistance but it took some effort to request what was needed. Some hospitality training would help the facility.","title: Lovely, simple. Great location. A couple of nights is good. liked: Nice, new glamping camp ground. Very simple structured tents, has the basics for what you need. Beautiful landscaping to make it cozy and memorable. Very nice communal camp fire shared with a few tents. disliked: The hot tub is a communal tub made from a huge stone but the water isn’t hot. Was looking forward to a warm soak. The staff was very accommodating when asked for assistance but it took some effort to request what was needed. Some hospitality training would help the facility.",1,0,
Tuan,Australia,Jungle Tent,1 night,Couple,12-25-2024 00:00:00,Very good,8.0,en,Beautiful setting. Wonderful view. Lovely staff. Wifi is super strong.,Wifi stops working after a few hours The mosque nearby has the music on from early morning til late at night. We need a better blanket.,title: Very good. liked: Beautiful setting. Wonderful view. Lovely staff. Wifi is super strong. disliked: Wifi stops working after a few hours The mosque nearby has the music on from early morning til late at night. We need a better blanket.,title: Very good. liked: Beautiful setting. Wonderful view. Lovely staff. Wifi is super strong. disliked: Wifi stops working after a few hours The mosque nearby has the music on from early morning til late at night. We need a better blanket.,2,0,
