username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Fairley,New Zealand,Comfort Triple Room,2 nights,Family,07-27-2025 00:00:00,Peaceful paradise 5 star cuisine,10.0,en-us,"⭐⭐⭐⭐⭐This was an outstanding Hotel nice walk to the beach ,Comfortable beds clean well though out rooms nice décor well kept property We made sure to eat most of our meals at the hotel restaurant because it was hands down the best restaurant in all of Bali !!!! The staff were exceptionally polite kind and Well vibed ..so much so we extended our stay three times For such a reasonable price this is amazing!!!!",,"title: Peaceful paradise 5 star cuisine. liked: ⭐⭐⭐⭐⭐This was an outstanding Hotel nice walk to the beach ,Comfortable beds clean well though out rooms nice décor well kept property We made sure to eat most of our meals at the hotel restaurant because it was hands down the best restaurant in all of Bali !!!! The staff were exceptionally polite kind and Well vibed ..so much so we extended our stay three times For such a reasonable price this is amazing!!!!","title: Peaceful paradise 5 star cuisine. liked: ⭐⭐⭐⭐⭐This was an outstanding Hotel nice walk to the beach ,Comfortable beds clean well though out rooms nice décor well kept property We made sure to eat most of our meals at the hotel restaurant because it was hands down the best restaurant in all of Bali !!!! The staff were exceptionally polite kind and Well vibed ..so much so we extended our stay three times For such a reasonable price this is amazing!!!!",1,0,
David,United Kingdom,King Suite with Balcony,4 nights,Family,01-16-2026 00:00:00,Peaceful location,8.0,en,Great quite location. Only a 5 minute walk to the beach.,Sun loungers at the pool sides need clean covers as was dirty.,title: Peaceful location. liked: Great quite location. Only a 5 minute walk to the beach. disliked: Sun loungers at the pool sides need clean covers as was dirty.,title: Peaceful location. liked: Great quite location. Only a 5 minute walk to the beach. disliked: Sun loungers at the pool sides need clean covers as was dirty.,0,0,
Dmytro,Ukraine,Comfort Triple Room,4 nights,Group,01-10-2026 00:00:00,Small hotel with good atmosphere,10.0,en,The garden is very beautiful and breakfast is always delicious 😋,,title: Small hotel with good atmosphere. liked: The garden is very beautiful and breakfast is always delicious 😋.,title: Small hotel with good atmosphere. liked: The garden is very beautiful and breakfast is always delicious 😋.,0,0,
Robert,United Kingdom,Comfort Triple Room,1 night,Family,01-06-2026 00:00:00,Great stay at very good boutique hotel.,10.0,en-us,Brilliant boutique hotel with excellent facilities. Very good value.,Stairs,title: Great stay at very good boutique hotel. liked: Brilliant boutique hotel with excellent facilities. Very good value. disliked: Stairs.,title: Great stay at very good boutique hotel. liked: Brilliant boutique hotel with excellent facilities. Very good value. disliked: Stairs.,0,0,
Linda,United Kingdom,King Suite with Balcony,7 nights,Solo traveller,12-12-2025 00:00:00,A beautiful small hotel to unwind and relax in a quiet beach resort,10.0,en,"I liked the spacious comfort of my room and verandah, the on site restaurant and exceptional staff - it felt like being with family. Every attention was given to my comfort and wellbeing",Nothing,"title: A beautiful small hotel to unwind and relax in a quiet beach resort. liked: I liked the spacious comfort of my room and verandah, the on site restaurant and exceptional staff - it felt like being with family. Every attention was given to my comfort and wellbeing. disliked: Nothing.","title: A beautiful small hotel to unwind and relax in a quiet beach resort. liked: I liked the spacious comfort of my room and verandah, the on site restaurant and exceptional staff - it felt like being with family. Every attention was given to my comfort and wellbeing. disliked: Nothing.",0,0,
Kylie,Australia,Villa with Sea View,2 nights,Couple,11-12-2025 00:00:00,This was my second stay and I will return again,10.0,en,It’s authentic Bali and very clean. Staff and owners are very welcoming and attentive.,Nothing,title: This was my second stay and I will return again. liked: It’s authentic Bali and very clean. Staff and owners are very welcoming and attentive. disliked: Nothing.,title: This was my second stay and I will return again. liked: It’s authentic Bali and very clean. Staff and owners are very welcoming and attentive. disliked: Nothing.,0,0,
Mark,Australia,Villa with Sea View,5 nights,Family,11-08-2025 00:00:00,Very good,8.0,en,"Well positioned, extra room upstairs nice veiw",N/a,"title: Very good. liked: Well positioned, extra room upstairs nice veiw. disliked: N/a.","title: Very good. liked: Well positioned, extra room upstairs nice veiw. disliked: N/a.",0,0,
Karen,Australia,King Suite with Balcony,5 nights,Family,11-06-2025 00:00:00,Perfect relaxing stay,9.0,en,"The garden room was very comfortable and private. The food at the restaurant was excellent. All of the staff were professional and helpful. Location was great - 2 min walk from excellent yoga at ""Nick Yoga"", and short walk to massage spa Bella Spa. Secret Bay Spa was also great, 10 min walk.",The pool was on the small side but still good to cool off.,"title: Perfect relaxing stay. liked: The garden room was very comfortable and private. The food at the restaurant was excellent. All of the staff were professional and helpful. Location was great - 2 min walk from excellent yoga at ""Nick Yoga"", and short walk to massage spa Bella Spa. Secret Bay Spa was also great, 10 min walk. disliked: The pool was on the small side but still good to cool off.","title: Perfect relaxing stay. liked: The garden room was very comfortable and private. The food at the restaurant was excellent. All of the staff were professional and helpful. Location was great - 2 min walk from excellent yoga at ""Nick Yoga"", and short walk to massage spa Bella Spa. Secret Bay Spa was also great, 10 min walk. disliked: The pool was on the small side but still good to cool off.",0,0,
Steven,Australia,Villa with Sea View,4 nights,Family,11-04-2025 00:00:00,Excellent,10.0,en,Amazing villas,,title: Excellent. liked: Amazing villas.,title: Excellent. liked: Amazing villas.,0,0,
Edward,Australia,Villa with Sea View,13 nights,Family,10-16-2025 00:00:00,Exceptional,10.0,en-us,We loved the location and the rooms. The pool and pool area was fantastic. The staff were incredible and the food was delicious. We had a fantastic time and will definitely be back.,,title: Exceptional. liked: We loved the location and the rooms. The pool and pool area was fantastic. The staff were incredible and the food was delicious. We had a fantastic time and will definitely be back.,title: Exceptional. liked: We loved the location and the rooms. The pool and pool area was fantastic. The staff were incredible and the food was delicious. We had a fantastic time and will definitely be back.,0,0,
Joshua,Australia,Villa with Sea View,3 nights,Family,10-01-2025 00:00:00,Superb,9.0,en-us,The room and pool were amazing food was good staff were lovely and view was brilliant,Toilet kept running......,title: Superb. liked: The room and pool were amazing food was good staff were lovely and view was brilliant. disliked: Toilet kept running......,title: Superb. liked: The room and pool were amazing food was good staff were lovely and view was brilliant. disliked: Toilet kept running......,0,0,
