username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
James,Ireland,One-Bedroom Suite,3 nights,Couple,06-22-2024 00:00:00,Dream stay.,10.0,en,Everything. Waves are right out front. The way Bali used to be.,Some of the other reviews are a little harsh in our opinion. It’s a great place. Come and enjoy.,title: Dream stay. liked: Everything. Waves are right out front. The way Bali used to be. disliked: Some of the other reviews are a little harsh in our opinion. It’s a great place. Come and enjoy.,title: Dream stay. liked: Everything. Waves are right out front. The way Bali used to be. disliked: Some of the other reviews are a little harsh in our opinion. It’s a great place. Come and enjoy.,0,0,
Mark,Australia,One-Bedroom Suite,6 nights,Family,11-17-2025 00:00:00,Good,7.0,en,"Location right on the beach, asked for a fridge and they brought us one within an hour",Hotel a little run down,"title: Good. liked: Location right on the beach, asked for a fridge and they brought us one within an hour. disliked: Hotel a little run down.","title: Good. liked: Location right on the beach, asked for a fridge and they brought us one within an hour. disliked: Hotel a little run down.",0,0,"Dear Mark Thank you for your review, We will use them to improve our service Best Regards, Pondok Pitaya"
Kim,Australia,Standard Twin Room with Sea View,1 night,Couple,11-15-2025 00:00:00,Very good,8.0,en,Amazing location good facilities And great staff,Small fridge in room would be good,title: Very good. liked: Amazing location good facilities And great staff. disliked: Small fridge in room would be good.,title: Very good. liked: Amazing location good facilities And great staff. disliked: Small fridge in room would be good.,0,0,"Dear Kim Thank you for your review We're glad you had decent experience and we appreciate your suggestions we will use them to improve our service Best Regards, Pondok Pitaya"
Karen,Australia,One-Bedroom Suite,4 nights,Couple,10-31-2025 00:00:00,"Right on the beach, good breezes, air con in rooms and best surf 🏄!",8.0,en,"The property is on the beach and is large. It has everything you need. I liked the massage here, better than the other one in the street, and the views of the surf. We were watching the surfers all the time and my hubby had a great time surfing. Also loved Nikki’s yoga classes up the road, strong but fantastic too. We had a relaxing stay overall.","Nothing, it could do with a strong water pressure over all the outdoor paths and stones to bring it back that’s all. It was all lovely. Great breakfast included too!","title: Right on the beach, good breezes, air con in rooms and best surf 🏄! liked: The property is on the beach and is large. It has everything you need. I liked the massage here, better than the other one in the street, and the views of the surf. We were watching the surfers all the time and my hubby had a great time surfing. Also loved Nikki’s yoga classes up the road, strong but fantastic too. We had a relaxing stay overall. disliked: Nothing, it could do with a strong water pressure over all the outdoor paths and stones to bring it back that’s all. It was all lovely. Great breakfast included too!","title: Right on the beach, good breezes, air con in rooms and best surf 🏄! liked: The property is on the beach and is large. It has everything you need. I liked the massage here, better than the other one in the street, and the views of the surf. We were watching the surfers all the time and my hubby had a great time surfing. Also loved Nikki’s yoga classes up the road, strong but fantastic too. We had a relaxing stay overall. disliked: Nothing, it could do with a strong water pressure over all the outdoor paths and stones to bring it back that’s all. It was all lovely. Great breakfast included too!",0,0,"Dear Karen Thank you so much for your kind review we're happy to hear that a great experience with us. we look forward to welcoming you again Best regards, Pondok Pitaya"
Heidi,Australia,One-Bedroom Suite,2 nights,Couple,10-29-2025 00:00:00,Superb,9.0,en,"Our stay at Pondok Pitaya Balian Hotel was great, it is a beach front hotel with great views of the surf break from the restaurant, pool or gardens. Our room was situated on the 2nd level with limited views from the open bathroom of the beach/break but was still comfortable and clean. The staff were warm and friendly and the breakfast options were tasty and freshly made.",,"title: Superb. liked: Our stay at Pondok Pitaya Balian Hotel was great, it is a beach front hotel with great views of the surf break from the restaurant, pool or gardens. Our room was situated on the 2nd level with limited views from the open bathroom of the beach/break but was still comfortable and clean. The staff were warm and friendly and the breakfast options were tasty and freshly made.","title: Superb. liked: Our stay at Pondok Pitaya Balian Hotel was great, it is a beach front hotel with great views of the surf break from the restaurant, pool or gardens. Our room was situated on the 2nd level with limited views from the open bathroom of the beach/break but was still comfortable and clean. The staff were warm and friendly and the breakfast options were tasty and freshly made.",0,0,"Dear Heidi Thank you for your kind review. we're happy to hear that a great experience with us. we look forward to welcoming you again Best Regards, Pondok Pitaya"
Cameron,Australia,Two-Bedroom Villa,3 nights,Couple,10-27-2025 00:00:00,Very good,8.0,en,Location and the space around the property. It was relaxing and quiet. I had one of the separate bungalows at the front and could check the surf from my front door.,"Needs minor repairs/ maintenance, but didn’t really bother me","title: Very good. liked: Location and the space around the property. It was relaxing and quiet. I had one of the separate bungalows at the front and could check the surf from my front door. disliked: Needs minor repairs/ maintenance, but didn’t really bother me.","title: Very good. liked: Location and the space around the property. It was relaxing and quiet. I had one of the separate bungalows at the front and could check the surf from my front door. disliked: Needs minor repairs/ maintenance, but didn’t really bother me.",0,0,
John,United States,Standard Twin Room with Sea View,2 nights,Solo traveller,10-16-2025 00:00:00,Great stay,8.0,en-us,Great location,Bugs,title: Great stay. liked: Great location. disliked: Bugs.,title: Great stay. liked: Great location. disliked: Bugs.,0,0,
Kerry,Australia,Standard Twin Room with Sea View,1 night,Solo traveller,10-07-2025 00:00:00,Java style rustic room on the beachfront.,7.0,en,Fabulous beachfront location. Comprehensive menu at restaurant. Spa treatments available. Room was rustic but clean and comfortable with outdoor bathroom. Swimming pool and ocean view room.,,title: Java style rustic room on the beachfront. liked: Fabulous beachfront location. Comprehensive menu at restaurant. Spa treatments available. Room was rustic but clean and comfortable with outdoor bathroom. Swimming pool and ocean view room.,title: Java style rustic room on the beachfront. liked: Fabulous beachfront location. Comprehensive menu at restaurant. Spa treatments available. Room was rustic but clean and comfortable with outdoor bathroom. Swimming pool and ocean view room.,0,0,
Christine,New Zealand,One-Bedroom Suite,6 nights,Couple,10-06-2025 00:00:00,Great place to stay staff and location excellent,9.0,en,Fantastic place to stay right in front of shipwrecks surf break,Would have been nice to have fruit included in breakfast as I don’t eat ebggs,title: Great place to stay staff and location excellent. liked: Fantastic place to stay right in front of shipwrecks surf break. disliked: Would have been nice to have fruit included in breakfast as I don’t eat ebggs.,title: Great place to stay staff and location excellent. liked: Fantastic place to stay right in front of shipwrecks surf break. disliked: Would have been nice to have fruit included in breakfast as I don’t eat ebggs.,0,0,
Tania,Australia,Two-Bedroom Villa,3 nights,Family,10-01-2025 00:00:00,Good,7.0,en,Beautiful and peaceful.,,title: Good. liked: Beautiful and peaceful.,title: Good. liked: Beautiful and peaceful.,0,0,
