username   , user_country        , room_view                       , stay_duration, stay_type     , review_post_date   , review_title                                                                                                          , rating, original_lang, review_text_liked                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           , review_text_disliked                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , full_review                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , en_full_review                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , found_helpful, found_unhelpful, owner_resp_text
Emily      , United Kingdom      , One-Bedroom Suite               , 7 nights     , Family        , 08-25-2024 00:00:00, Exceptional                                                                                                           , 10.0  , en           , The staff are fantastic and the food is delicious. Ideal surf spot and hidden away gem to get a real local feel.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , title: Exceptional. liked: The staff are fantastic and the food is delicious. Ideal surf spot and hidden away gem to get a real local feel.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          , title: Exceptional. liked: The staff are fantastic and the food is delicious. Ideal surf spot and hidden away gem to get a real local feel.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       , 0            , 0              , 
Kizzy      , Malta               , One-Bedroom Suite               , 2 nights     , Family        , 03-26-2026 00:00:00, My second time there due to location. The most amazing sunset for sure. Both times                                    , 7.0   , en-us        , The location is amazing. Nice grounds also. Rooms have nice decent decor. Beds are comfortable                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              , Cleanliness needs to be upgraded. But doable if you’re not too fussy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , title: My second time there due to location. The most amazing sunset for sure. Both times. liked: The location is amazing. Nice grounds also. Rooms have nice decent decor. Beds are comfortable. disliked: Cleanliness needs to be upgraded. But doable if you’re not too fussy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , title: My second time there due to location. The most amazing sunset for sure. Both times. liked: The location is amazing. Nice grounds also. Rooms have nice decent decor. Beds are comfortable. disliked: Cleanliness needs to be upgraded. But doable if you’re not too fussy.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 , 0            , 0              , 
Rob        , Australia           , Villa 4 Adults                  , 4 nights     , Couple        , 03-07-2026 00:00:00, Relaxing and easy going.                                                                                              , 7.0   , en           , Location.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , Needs lots fixed . Broken and old. No security for single women etc at night. Staff seem a bit complacent to walk past empty bottles and plates at villa . Should be cleaning up at all times. Dogs are not always wanted around while eating etc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , title: Relaxing and easy going. liked: Location. disliked: Needs lots fixed . Broken and old. No security for single women etc at night. Staff seem a bit complacent to walk past empty bottles and plates at villa . Should be cleaning up at all times. Dogs are not always wanted around while eating etc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        , title: Relaxing and easy going. liked: Location. disliked: Needs lots fixed . Broken and old. No security for single women etc at night. Staff seem a bit complacent to walk past empty bottles and plates at villa . Should be cleaning up at all times. Dogs are not always wanted around while eating etc.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , 0            , 0              , 
Sabrina    , Australia           , One-Bedroom Suite               , 1 night      , Group         , 02-02-2026 00:00:00, Nice and Affordable Stay                                                                                              , 8.0   , en           , "Pondok Pitaya is a beachfront hotel. The location is great as you walk through the hotel's garden and arrive at the beach. The room was clean and comfortable, which met the needs for one night."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         , "I did not like the bathroom, as it was partially open. I understand that this is a Bali-style design with no windows; however, the bathroom does not stay clean for long, and bugs and insects are always present. It is very annoying to have to keep the bathroom door closed at all times to prevent insects and mosquitoes from entering the room. There was a large window above the door connecting to the bathroom, and it only had a regular curtain. In my opinion, a blackout curtain would help keep the room darker in the morning."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "title: Nice and Affordable Stay. liked: Pondok Pitaya is a beachfront hotel. The location is great as you walk through the hotel's garden and arrive at the beach. The room was clean and comfortable, which met the needs for one night. disliked: I did not like the bathroom, as it was partially open. I understand that this is a Bali-style design with no windows; however, the bathroom does not stay clean for long, and bugs and insects are always present. It is very annoying to have to keep the bathroom door closed at all times to prevent insects and mosquitoes from entering the room. There was a large window above the door connecting to the bathroom, and it only had a regular curtain. In my opinion, a blackout curtain would help keep the room darker in the morning."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , "title: Nice and Affordable Stay. liked: Pondok Pitaya is a beachfront hotel. The location is great as you walk through the hotel's garden and arrive at the beach. The room was clean and comfortable, which met the needs for one night. disliked: I did not like the bathroom, as it was partially open. I understand that this is a Bali-style design with no windows; however, the bathroom does not stay clean for long, and bugs and insects are always present. It is very annoying to have to keep the bathroom door closed at all times to prevent insects and mosquitoes from entering the room. There was a large window above the door connecting to the bathroom, and it only had a regular curtain. In my opinion, a blackout curtain would help keep the room darker in the morning."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , 0            , 0              , 
Mark       , Australia           , One-Bedroom Suite               , 6 nights     , Family        , 11-17-2025 00:00:00, Good                                                                                                                  , 7.0   , en           , "Location right on the beach, asked for a fridge and they brought us one within an hour"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    , Hotel a little run down                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , "title: Good. liked: Location right on the beach, asked for a fridge and they brought us one within an hour. disliked: Hotel a little run down."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , "title: Good. liked: Location right on the beach, asked for a fridge and they brought us one within an hour. disliked: Hotel a little run down."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , 0            , 0              , "Dear Mark Thank you for your review, We will use them to improve our service Best Regards, Pondok Pitaya"
