username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Yvonne,Canada,Double Room with Mountain View,3 nights,Solo traveller,05-28-2025 00:00:00,Great stay,10.0,en-us,"Great location for waterfalls in the North. The staff on property was very helpful and gave me the contact of a bike driver who rode me around to the waterfalls per my chosen itinerary. The restaurant on the property was really nice and had good food. The breakfast was amazing. Room was cozy too, they have hot water for shower.",Don’t recommend paying extra for the mountain view room since you can only see a small hill. Felt a few tremors and learnt that it’s normal in Bedugal. It was super rainy in the north and rained every single day of my stay. Also gets quite chilly so carry a jacket and warm clothes. The tub in the washroom didn’t fill as the stopper kept letting water out so it was useless having a tub. The washroom wasn’t very clean when I checked in.,"title: Great stay. liked: Great location for waterfalls in the North. The staff on property was very helpful and gave me the contact of a bike driver who rode me around to the waterfalls per my chosen itinerary. The restaurant on the property was really nice and had good food. The breakfast was amazing. Room was cozy too, they have hot water for shower. disliked: Don’t recommend paying extra for the mountain view room since you can only see a small hill. Felt a few tremors and learnt that it’s normal in Bedugal. It was super rainy in the north and rained every single day of my stay. Also gets quite chilly so carry a jacket and warm clothes. The tub in the washroom didn’t fill as the stopper kept letting water out so it was useless having a tub. The washroom wasn’t very clean when I checked in.","title: Great stay. liked: Great location for waterfalls in the North. The staff on property was very helpful and gave me the contact of a bike driver who rode me around to the waterfalls per my chosen itinerary. The restaurant on the property was really nice and had good food. The breakfast was amazing. Room was cozy too, they have hot water for shower. disliked: Don’t recommend paying extra for the mountain view room since you can only see a small hill. Felt a few tremors and learnt that it’s normal in Bedugal. It was super rainy in the north and rained every single day of my stay. Also gets quite chilly so carry a jacket and warm clothes. The tub in the washroom didn’t fill as the stopper kept letting water out so it was useless having a tub. The washroom wasn’t very clean when I checked in.",0,0,
Chris,Australia,Double Room with Mountain View,3 nights,Solo traveller,05-17-2026 00:00:00,Enjoyed my stay here..,7.0,en-us,Rooms surrounded by beautiful gardens. Staff were excellent. Arranged good driver to tour waterfalls.,Need a small fridge in the room. Breakfast was good but it is served all at once so some gets cold… Fruit juices need some ice in them. I ordered Mie Goreng with extra vegetables and it was great !!,title: Enjoyed my stay here.. liked: Rooms surrounded by beautiful gardens. Staff were excellent. Arranged good driver to tour waterfalls. disliked: Need a small fridge in the room. Breakfast was good but it is served all at once so some gets cold… Fruit juices need some ice in them. I ordered Mie Goreng with extra vegetables and it was great !!,title: Enjoyed my stay here.. liked: Rooms surrounded by beautiful gardens. Staff were excellent. Arranged good driver to tour waterfalls. disliked: Need a small fridge in the room. Breakfast was good but it is served all at once so some gets cold… Fruit juices need some ice in them. I ordered Mie Goreng with extra vegetables and it was great !!,0,0,
Kullen,New Zealand,Double Room with Mountain View,2 nights,Couple,04-17-2026 00:00:00,"Friendly people, a cool quirky designed hotel. Tasty simple food",8.0,en,"Quirky place on a hill road. Was very quiet, for a time we were the only people at the hotel! It has a quiet charm and the staff are lovely, always willingto help.The bungalows are cool design. Courtesy shuttle into the town area available. Food at rest was simple but very tasty including some local dishes, we ate there every night","The whole area was very devoid of western tourist including our hotel (which was nice), however seemed like area had taken a bit of a downturn and as a result a little bit tired, don't expect hustling business. Sometimes hard to find staff, felt like we were staying at a locals house rather than a medium size hotel! Once again we were ok with this, but others might not like it","title: Friendly people, a cool quirky designed hotel. Tasty simple food. liked: Quirky place on a hill road. Was very quiet, for a time we were the only people at the hotel! It has a quiet charm and the staff are lovely, always willingto help.The bungalows are cool design. Courtesy shuttle into the town area available. Food at rest was simple but very tasty including some local dishes, we ate there every night. disliked: The whole area was very devoid of western tourist including our hotel (which was nice), however seemed like area had taken a bit of a downturn and as a result a little bit tired, don't expect hustling business. Sometimes hard to find staff, felt like we were staying at a locals house rather than a medium size hotel! Once again we were ok with this, but others might not like it.","title: Friendly people, a cool quirky designed hotel. Tasty simple food. liked: Quirky place on a hill road. Was very quiet, for a time we were the only people at the hotel! It has a quiet charm and the staff are lovely, always willingto help.The bungalows are cool design. Courtesy shuttle into the town area available. Food at rest was simple but very tasty including some local dishes, we ate there every night. disliked: The whole area was very devoid of western tourist including our hotel (which was nice), however seemed like area had taken a bit of a downturn and as a result a little bit tired, don't expect hustling business. Sometimes hard to find staff, felt like we were staying at a locals house rather than a medium size hotel! Once again we were ok with this, but others might not like it.",0,0,
John,Australia,Twin Room with Mountain View,1 night,Couple,03-22-2026 00:00:00,Good,7.0,en,Breakfast was average and NO FRIDGe,FLIES everywhere and NO Fridge WHY?,title: Good. liked: Breakfast was average and NO FRIDGe. disliked: FLIES everywhere and NO Fridge WHY?,title: Good. liked: Breakfast was average and NO FRIDGe. disliked: FLIES everywhere and NO Fridge WHY?,0,0,
Alan,Australia,Double Room with Mountain View,2 nights,Couple,02-28-2026 00:00:00,A great place to enjoy nature at a unique hotel with lovely gardens and staff.,8.0,en,"The staff were friendly and helpful. There was a shuttle bus that could be used to go to the main part of town. Breakfasts and evening meals were from a varied menu - Balinese and Western. There was a pool table and darts board in the restaurant, which was a pleasant surprise. The whole atmosphere was colonial as the rooms were all wooden - even some lampshades in the bathroom. The gardens around the cottages were magnificent. The bed was very comfortable. The best part of our stay was going to the botanical gardens - about 150 acres of wonderful flowers, shrubs and mini forests. We went there for 2 days. A ticket will be valid for more than one week day - a bargain! There is another showcase garden next to the lake. Take the shuttle bus to the botanical gardens then walk back - mainly downhill. On the way there, or on the way back, allow time for the Bird Park.","The restaurant area could have been better dusted and swept. The main complaint is the location next to the busy road. As it was on a hill, the truck noise was considerable at times. I consider myself a light sleeper, but in the end I did get a good sleep, so first impressions were wrong.","title: A great place to enjoy nature at a unique hotel with lovely gardens and staff. liked: The staff were friendly and helpful. There was a shuttle bus that could be used to go to the main part of town. Breakfasts and evening meals were from a varied menu - Balinese and Western. There was a pool table and darts board in the restaurant, which was a pleasant surprise. The whole atmosphere was colonial as the rooms were all wooden - even some lampshades in the bathroom. The gardens around the cottages were magnificent. The bed was very comfortable. The best part of our stay was going to the botanical gardens - about 150 acres of wonderful flowers, shrubs and mini forests. We went there for 2 days. A ticket will be valid for more than one week day - a bargain! There is another showcase garden next to the lake. Take the shuttle bus to the botanical gardens then walk back - mainly downhill. On the way there, or on the way back, allow time for the Bird Park. disliked: The restaurant area could have been better dusted and swept. The main complaint is the location next to the busy road. As it was on a hill, the truck noise was considerable at times. I consider myself a light sleeper, but in the end I did get a good sleep, so first impressions were wrong.","title: A great place to enjoy nature at a unique hotel with lovely gardens and staff. liked: The staff were friendly and helpful. There was a shuttle bus that could be used to go to the main part of town. Breakfasts and evening meals were from a varied menu - Balinese and Western. There was a pool table and darts board in the restaurant, which was a pleasant surprise. The whole atmosphere was colonial as the rooms were all wooden - even some lampshades in the bathroom. The gardens around the cottages were magnificent. The bed was very comfortable. The best part of our stay was going to the botanical gardens - about 150 acres of wonderful flowers, shrubs and mini forests. We went there for 2 days. A ticket will be valid for more than one week day - a bargain! There is another showcase garden next to the lake. Take the shuttle bus to the botanical gardens then walk back - mainly downhill. On the way there, or on the way back, allow time for the Bird Park. disliked: The restaurant area could have been better dusted and swept. The main complaint is the location next to the busy road. As it was on a hill, the truck noise was considerable at times. I consider myself a light sleeper, but in the end I did get a good sleep, so first impressions were wrong.",0,0,
Prasanna,India,Twin Room with Mountain View,2 nights,Couple,01-30-2026 00:00:00,Superb,9.0,en,"Quiet and beautiful place, nice cozy cottages and warm hospitality.","Cottages were a bit cramped for room, and lighting options could be better.","title: Superb. liked: Quiet and beautiful place, nice cozy cottages and warm hospitality. disliked: Cottages were a bit cramped for room, and lighting options could be better.","title: Superb. liked: Quiet and beautiful place, nice cozy cottages and warm hospitality. disliked: Cottages were a bit cramped for room, and lighting options could be better.",0,0,
Corrie,Sweden,Double Room with Mountain View,2 nights,Couple,01-24-2026 00:00:00,Very good,8.0,en,The room was cute and the bathroom beautiful. The general hotel area is really pretty.,"You'll have to walk a bit on a road with a lot of traffic to get anywhere. Make sure to bring lamps so you're visible in the dark. The breakfast follows the same pattern as the sister hotel ""Poppies"" is Kuta but is not remotely as good. It's still ok though. Our hot water tank ran out so we didn't have any warm water at all for the last 1,5 days of our stay. We didn't complain about it though. They might have been able to fix it. One person also offered his son as a driver, but the son wanted 350K to drive us to the next place. After asking around a little we found another driver who did the same route for 200K.","title: Very good. liked: The room was cute and the bathroom beautiful. The general hotel area is really pretty. disliked: You'll have to walk a bit on a road with a lot of traffic to get anywhere. Make sure to bring lamps so you're visible in the dark. The breakfast follows the same pattern as the sister hotel ""Poppies"" is Kuta but is not remotely as good. It's still ok though. Our hot water tank ran out so we didn't have any warm water at all for the last 1,5 days of our stay. We didn't complain about it though. They might have been able to fix it. One person also offered his son as a driver, but the son wanted 350K to drive us to the next place. After asking around a little we found another driver who did the same route for 200K.","title: Very good. liked: The room was cute and the bathroom beautiful. The general hotel area is really pretty. disliked: You'll have to walk a bit on a road with a lot of traffic to get anywhere. Make sure to bring lamps so you're visible in the dark. The breakfast follows the same pattern as the sister hotel ""Poppies"" is Kuta but is not remotely as good. It's still ok though. Our hot water tank ran out so we didn't have any warm water at all for the last 1,5 days of our stay. We didn't complain about it though. They might have been able to fix it. One person also offered his son as a driver, but the son wanted 350K to drive us to the next place. After asking around a little we found another driver who did the same route for 200K.",0,0,
Dito,Indonesia,Twin Room with Mountain View,1 night,Couple,01-01-2026 00:00:00,Superb,9.0,en-us,Amazing. Incredibly clean and cozy,,title: Superb. liked: Amazing. Incredibly clean and cozy.,title: Superb. liked: Amazing. Incredibly clean and cozy.,0,0,
Andre,Brazil,Double Room with Mountain View,2 nights,Family,12-14-2025 00:00:00,Great value for money! I wish they re start the strawberry farm soon!,8.0,en-us,Room cleanliness and facilities. Hot shower very hot and long. Gardens within the property magnificent! Nice Fireplace in restaurant! Delicious breakfast!,"A little noisy because of the highway nearby, particularly early morning. They discontinued their own strawberry farm within the hotel premises, which was a frustration.","title: Great value for money! I wish they re start the strawberry farm soon! liked: Room cleanliness and facilities. Hot shower very hot and long. Gardens within the property magnificent! Nice Fireplace in restaurant! Delicious breakfast! disliked: A little noisy because of the highway nearby, particularly early morning. They discontinued their own strawberry farm within the hotel premises, which was a frustration.","title: Great value for money! I wish they re start the strawberry farm soon! liked: Room cleanliness and facilities. Hot shower very hot and long. Gardens within the property magnificent! Nice Fireplace in restaurant! Delicious breakfast! disliked: A little noisy because of the highway nearby, particularly early morning. They discontinued their own strawberry farm within the hotel premises, which was a frustration.",0,0,
Francois,France,Double Room with Mountain View,1 night,Couple,11-19-2025 00:00:00,Great,9.0,en,"Beautiful property, location is good, but a bit noisy since it’s on a hill, but overall a very pleasant experience. I would return with no hesitation",A bit of traffic noise,"title: Great. liked: Beautiful property, location is good, but a bit noisy since it’s on a hill, but overall a very pleasant experience. I would return with no hesitation. disliked: A bit of traffic noise.","title: Great. liked: Beautiful property, location is good, but a bit noisy since it’s on a hill, but overall a very pleasant experience. I would return with no hesitation. disliked: A bit of traffic noise.",0,0,
